class	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
c_Actinomycetia	164576	32663	7282	3762	17698	4577	13145	24769	54292	141866	15684	134755	42831	6194	3625568	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
c_Gammaproteobacteria	26231	1417	44506	46679	17167	54814	30206	7644	87844	1548	1257153	890294	61851	40509	906398	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria
c_Alphaproteobacteria	13330	676	5564	5482	1853	5772	2751	1316	4929	4459	818	525898	5130	4569	2502369	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria
c_Clostridia	9174	741	4550	2663	1363	3105	4728	289924	2007	850	607022	19236	107526	4316	266524	d_Bacteria;p_Firmicutes A;c_Clostridia
c_Bacilli	987	1450	5836	970	3615	1408	4672	55745	2517	81919	31209	279361	63401	3467	105331	d_Bacteria;p_Firmicutes;c_Bacilli
c_Campylobacteria	2598	88	1444	297	87459	347	1952	2251	173	61	1187	27966	75	28522	16902	d_Bacteria;p_Campylobacterota;c_Campylobacteria
c_Fusobacteriia	44	20	381	45	660	17	164	88387	12	430	23330	3720	13275	2215	1380	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia
c_Unclassified_p_Proteobacteria	716	70	3266	3173	906	3369	1832	192	1127	106	3883	23313	442	3079	85215	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria
c_Bacteroidia	2436	2851	3921	3530	2946	3798	3143	1399	2749	2019	2789	68883	490	3285	4637	d_Bacteria;p_Bacteroidota;c_Bacteroidia
c_Unclassified_p_Actinobacteriota	487	65	29	34	35	22	29	60	197	165	42	548	139	15	17009	d_Bacteria;p_Actinobacteriota;c_Unclassified_p_Actinobacteriota
c_Negativicutes	68	1	1074	1386	459	1457	627	45	990	1	93	291	26	1128	96	d_Bacteria;p_Firmicutes C;c_Negativicutes
c_Babeliae	0	0	17	14	10	42	9	0	0	0	5	11	1	14	6088	d_Bacteria;p_Dependentiae;c_Babeliae
c_Aquificae	31	4	597	742	179	776	469	126	299	1	7	3	1	743	12	d_Bacteria;p_Aquificota;c_Aquificae
c_Cyanobacteriia	129	58	492	585	157	577	341	15	327	40	5	206	13	479	126	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia
c_Verrucomicrobiae	47	60	354	357	140	407	237	58	322	46	16	332	12	360	154	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae
c_Unclassified_p_Firmicutes A	16	0	0	0	0	0	6	279	0	3	617	3	59	0	928	d_Bacteria;p_Firmicutes A;c_Unclassified_p_Firmicutes A
c_SAR324	526	3	34	31	40	31	18	0	724	0	2	32	1	323	9	d_Bacteria;p_SAR324;c_SAR324
c_Anaerolineae	45	24	193	186	61	196	105	10	115	20	33	293	14	195	159	d_Bacteria;p_Chloroflexota;c_Anaerolineae
c_Coriobacteriia	14	3	2	2	3	0	2	18	2	2	524	31	3	0	986	d_Bacteria;p_Actinobacteriota;c_Coriobacteriia
c_Polyangia	56	45	238	203	95	281	192	0	123	61	5	0	2	207	36	d_Bacteria;p_Myxococcota;c_Polyangia
c_UBA2214	2	0	161	129	34	134	97	2	51	0	703	26	63	91	4	d_Bacteria;p_KSB1;c_UBA2214
c_Thermoleophilia	8	3	0	6	4	3	0	8	8	0	0	140	3	19	1205	d_Bacteria;p_Actinobacteriota;c_Thermoleophilia
c_Myxococcia	11	25	105	77	37	64	44	3	63	56	45	575	0	61	10	d_Bacteria;p_Myxococcota;c_Myxococcia
c_Acidimicrobiia	32	13	46	29	20	45	28	5	73	26	0	34	1	42	700	d_Bacteria;p_Actinobacteriota;c_Acidimicrobiia
c_Unclassified_p_Myxococcota	20	20	183	152	41	202	108	2	98	27	1	1	3	152	2	d_Bacteria;p_Myxococcota;c_Unclassified_p_Myxococcota
c_Fibrobacteria	7	0	195	183	45	189	93	0	122	0	3	1	0	161	1	d_Bacteria;p_Fibrobacterota;c_Fibrobacteria
c_Saccharimonadia	436	6	16	15	16	4	24	72	98	29	24	4	3	23	183	d_Bacteria;p_Patescibacteria;c_Saccharimonadia
c_UBA796	23	16	141	168	40	191	73	1	64	19	6	0	1	152	1	d_Bacteria;p_Myxococcota A;c_UBA796
c_Bacteriovoracia	18	36	142	124	51	125	64	2	69	20	0	1	3	131	0	d_Bacteria;p_Bdellovibrionota;c_Bacteriovoracia
c_Acidobacteriae	64	88	51	43	47	44	71	29	29	53	6	45	2	57	105	d_Bacteria;p_Acidobacteriota;c_Acidobacteriae
c_Unclassified_p_Bacteroidota	2	2	26	17	8	22	16	2	13	0	0	419	0	35	118	d_Bacteria;p_Bacteroidota;c_Unclassified_p_Bacteroidota
c_DTU015	1	3	0	0	1	0	2	1	1	0	0	0	3	0	654	d_Bacteria;p_Firmicutes E;c_DTU015
c_Ktedonobacteria	13	0	42	12	32	15	16	0	1	0	0	9	0	22	446	d_Bacteria;p_Chloroflexota;c_Ktedonobacteria
c_Spirochaetia	8	10	31	59	36	35	22	42	33	5	1	6	6	70	239	d_Bacteria;p_Spirochaetota;c_Spirochaetia
c_UBA9042	13	23	81	57	41	70	44	4	26	15	2	58	1	109	47	d_Bacteria;p_Myxococcota;c_UBA9042
c_Gemmatimonadetes	46	33	77	40	9	56	51	0	33	24	1	37	0	41	119	d_Bacteria;p_Gemmatimonadota;c_Gemmatimonadetes
c_Nitrospiria	3	1	116	104	21	97	55	0	95	5	0	1	1	61	6	d_Bacteria;p_Nitrospirota;c_Nitrospiria
c_Chloroflexia	18	17	13	12	10	29	11	1	8	8	0	8	2	7	408	d_Bacteria;p_Chloroflexota;c_Chloroflexia
c_Deinococci	147	1	9	4	11	0	0	20	10	9	1	54	5	6	249	d_Bacteria;p_Deinococcota;c_Deinococci
c_Vicinamibacteria	14	9	6	11	10	15	19	2	6	4	0	2	1	6	395	d_Bacteria;p_Acidobacteriota;c_Vicinamibacteria
c_Paceibacteria	2	1	59	63	20	54	26	13	7	0	26	3	0	69	144	d_Bacteria;p_Patescibacteria;c_Paceibacteria
c_Dormibacteria	1	0	16	3	6	26	7	0	11	0	0	8	0	8	383	d_Bacteria;p_Dormibacterota;c_Dormibacteria
c_Magnetococcia	7	5	37	100	28	87	65	1	25	0	0	16	2	71	0	d_Bacteria;p_Proteobacteria;c_Magnetococcia
c_Chlamydiia	8	5	71	31	37	61	49	0	78	19	5	11	1	40	6	d_Bacteria;p_Chlamydiota;c_Chlamydiia
c_Desulfobacteria	18	22	33	18	26	50	15	9	13	6	1	32	4	21	147	d_Bacteria;p_Desulfobacterota;c_Desulfobacteria
c_Thermotogae	0	0	0	0	0	0	0	0	0	0	360	26	2	0	18	d_Bacteria;p_Thermotogota;c_Thermotogae
c_Dehalococcoidia	8	7	59	82	13	73	34	4	36	2	2	18	0	52	0	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia
c_Ignavibacteria	0	0	63	60	22	83	24	4	44	3	3	2	0	75	1	d_Bacteria;p_Bacteroidota;c_Ignavibacteria
c_Desulfuromonadia	4	5	25	22	18	24	24	1	9	3	0	3	0	37	206	d_Bacteria;p_Desulfobacterota;c_Desulfuromonadia
c_Sulfobacillia	7	0	78	50	7	61	21	0	65	0	0	0	0	39	1	d_Bacteria;p_Firmicutes E;c_Sulfobacillia
c_Kiritimatiellae	3	5	30	55	10	72	30	2	26	7	0	44	0	40	4	d_Bacteria;p_Verrucomicrobiota;c_Kiritimatiellae
c_Desulfovibrionia	1	2	12	7	7	17	13	122	16	3	15	38	13	14	35	d_Bacteria;p_Desulfobacterota I;c_Desulfovibrionia
c_ABY1	16	18	30	35	8	80	12	0	31	11	1	0	1	25	28	d_Bacteria;p_Patescibacteria;c_ABY1
c_Synergistia	3	1	24	36	16	56	30	12	9	1	32	2	1	37	33	d_Bacteria;p_Synergistota;c_Synergistia
c_Lentisphaeria	1	2	48	53	7	42	34	14	15	0	16	5	1	39	0	d_Bacteria;p_Verrucomicrobiota;c_Lentisphaeria
c_Kapabacteria	0	1	31	43	9	47	22	0	16	0	4	2	7	50	34	d_Bacteria;p_Bacteroidota;c_Kapabacteria
c_Elusimicrobia	0	0	16	34	3	23	13	0	12	0	2	0	0	25	137	d_Bacteria;p_Elusimicrobiota;c_Elusimicrobia
c_Binatia	4	8	53	52	9	44	15	0	28	15	0	0	1	31	5	d_Bacteria;p_Desulfobacterota B;c_Binatia
c_Bdellovibrionia A	7	1	10	22	9	8	12	0	2	2	0	127	0	10	38	d_Bacteria;p_Bdellovibrionota;c_Bdellovibrionia A
c_Holophagae	13	16	14	23	22	40	11	7	21	20	1	11	1	26	4	d_Bacteria;p_Acidobacteriota;c_Holophagae
c_Brachyspirae	69	0	12	0	51	11	3	1	0	0	1	23	2	4	26	d_Bacteria;p_Spirochaetota;c_Brachyspirae
c_Chitinivibrionia	1	0	48	18	7	30	24	0	16	0	3	1	1	36	9	d_Bacteria;p_Fibrobacterota;c_Chitinivibrionia
c_Rubrobacteria	1	0	5	7	4	1	1	0	2	0	0	3	0	11	156	d_Bacteria;p_Actinobacteriota;c_Rubrobacteria
c_Microgenomatia	5	17	17	22	13	23	20	0	18	11	0	2	0	36	3	d_Bacteria;p_Patescibacteria;c_Microgenomatia
c_XYA12-FULL-58-9	10	11	8	49	22	19	13	0	10	12	0	2	0	14	0	d_Bacteria;p_Myxococcota;c_XYA12-FULL-58-9
c_SHA-98	1	0	0	0	0	0	1	0	0	0	5	151	0	0	0	d_Bacteria;p_Firmicutes G;c_SHA-98
c_Desulfitobacteriia	0	0	1	1	3	2	0	7	0	0	117	0	4	1	17	d_Bacteria;p_Firmicutes B;c_Desulfitobacteriia
c_Limnocylindria	8	7	6	5	7	6	23	0	12	8	0	4	1	13	51	d_Bacteria;p_Chloroflexota;c_Limnocylindria
c_Nitrospinia	1	0	28	21	6	13	13	3	30	3	0	0	0	30	1	d_Bacteria;p_Nitrospinota;c_Nitrospinia
c_UBA9160	9	23	10	0	1	19	2	0	66	8	0	2	0	7	0	d_Bacteria;p_Myxococcota A;c_UBA9160
c_Unclassified_p_Chloroflexota	6	2	40	11	4	24	15	0	8	0	0	0	1	31	0	d_Bacteria;p_Chloroflexota;c_Unclassified_p_Chloroflexota
c_UBA994	1	0	22	18	4	23	12	2	50	0	1	0	1	5	1	d_Bacteria;p_Firmicutes H;c_UBA994
c_Humimicrobiia	2	6	18	8	1	17	25	21	21	4	0	0	2	12	1	d_Bacteria;p_Actinobacteriota;c_Humimicrobiia
c_Vampirovibrionia	0	1	11	10	6	44	31	5	6	3	0	0	0	17	0	d_Bacteria;p_Cyanobacteria;c_Vampirovibrionia
c_Halanaerobiia	2	0	0	0	2	10	0	14	3	0	73	2	0	0	26	d_Bacteria;p_Firmicutes F;c_Halanaerobiia
