class	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
c_Gammaproteobacteria	227510.0274	83011.5155	1355881.8379	1630089.9905	314569.0425	1657425.2715	1071363.8533	28489.8433	1359496.968	10498.1031	700369.0493	485326.5209	252590.7212	994561.7095	141290.8197	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria
c_Actinomycetia	958342.2019	1824073.7297	293742.399	160759.5828	434845.005	168127.0152	681365.198	68104.985	496626.7852	733531.3134	10149.6341	76141.3554	173943.3749	193984.1222	487882.7845	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
c_Clostridia	51018.0929	32864.4809	78000.5753	59441.4899	17457.0093	64263.2642	100143.2041	669285.2048	19224.3446	5368.8931	341125.6514	11162.0449	393088.2119	58178.4474	42178.3363	d_Bacteria;p_Firmicutes A;c_Clostridia
c_Alphaproteobacteria	75107.189	35324.5104	170730.0304	190696.9514	32926.3522	176943.8781	110994.2053	3314.9639	74863.0611	25625.7805	680.6584	317822.2944	20817.4747	113522.4341	368622.707	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria
c_Bacilli	19618.8691	159539.6557	95797.414	35548.7317	61615.356	32005.2821	142484.6679	130928.9891	31469.5773	395845.858	17640.4338	174824.0359	226881.5017	49860.1188	17211.6113	d_Bacteria;p_Firmicutes;c_Bacilli
c_Bacteroidia	27488.6506	204390.4978	145711.3573	147156.1584	65528.3309	138614.4162	145066.8236	3679.3172	45208.7419	22793.8076	2122.2144	40758.6211	2891.6401	96589.8745	849.7922	d_Bacteria;p_Bacteroidota;c_Bacteroidia
c_Campylobacteria	12800.0955	2299.4005	17905.9704	4604.38	638986.8914	4239.0037	30083.1368	4896.8876	1251.5491	233.536	601.8708	14528.9138	235.4527	277580.9706	2225.1352	d_Bacteria;p_Campylobacterota;c_Campylobacteria
c_Unclassified_p_Proteobacteria	3677.4447	4321.3656	77012.6046	84522.9544	14378.2277	81585.745	54954.6022	597.3402	13306.3233	744.2519	1121.0882	9831.2078	1576.1023	59117.9136	9381.9365	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria
c_Fusobacteriia	289.5144	374.5777	4546.5034	649.7361	4845.8641	211.9711	2454.739	188088.6994	127.476	4054.3955	10832.3415	2656.7011	46958.5739	20820.1562	227.3311	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia
c_Negativicutes	536.7067	42.3796	22455.1198	33005.2589	5849.8673	30060.161	16291.6465	97.763	10709.4501	4.0587	69.723	904.1448	150.5808	19078.9376	33.678	d_Bacteria;p_Firmicutes C;c_Negativicutes
c_Cyanobacteriia	1101.9159	3783.3296	11744.5478	15629.2824	2507.9374	15626.3496	11206.4936	63.3389	5179.2349	336.4303	6.7145	240.9018	66.2586	9624.5165	51.0816	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia
c_Verrucomicrobiae	454.7965	5338.9946	10979.9806	11613.601	3206.7134	13495.7226	9052.8585	237.6471	4950.8291	642.2095	27.9728	252.2643	125.1677	8433.5283	47.0828	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae
c_Aquificae	106.2987	205.9394	7843.4737	9285.37	1270.584	9254.3085	7395.6667	150.3872	1924.5641	9.0845	3.7492	0.7671	1.91	6126.6594	1.8639	d_Bacteria;p_Aquificota;c_Aquificae
c_Polyangia	569.4239	2708.0191	7315.4898	5922.5658	1814.3208	8347.7172	7626.5911	0	1930.0089	642.5382	7.0484	0	24.5743	5315.8724	10.395	d_Bacteria;p_Myxococcota;c_Polyangia
c_Anaerolineae	686.7673	2447.1601	6188.1825	8831.1373	1659.0487	7939.3065	5138.6345	52.4018	2215.8945	271.1939	21.8463	147.5111	75.71	5759.0403	28.1722	d_Bacteria;p_Chloroflexota;c_Anaerolineae
c_Bacteriovoracia	245.6659	2491.2006	6697.3191	6617.6013	1569.2804	5847.6872	4220.9161	14.8423	1348.3516	190.3724	0	2.3523	40.4516	5070.8084	0	d_Bacteria;p_Bdellovibrionota;c_Bacteriovoracia
