class	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
c_Gammaproteobacteria	162639.8212	34523.7909	565970.2049	654440.904	193060.0218	662367.0462	434006.1695	25873.0868	644941.3468	8683.2496	644696.0656	427087.7684	225325.393	498324.8312	131518.4472	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria
c_Actinomycetia	685088.9435	758616.9175	122613.5207	64541.0053	266876.8213	67189.6322	276018.9255	61849.6275	235598.2803	606722.5123	9342.8303	67004.4602	155167.4547	97195.6833	454138.3961	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
c_Clostridia	36471.2431	13668.0611	32558.8855	23864.2913	10713.8661	25681.9232	40567.7009	607812.1971	9119.9723	4440.7488	314009.2578	9822.6094	350657.2031	29150.2927	39261.0738	d_Bacteria;p_Firmicutes A;c_Clostridia
c_Bacilli	14024.9175	66351.2005	39987.6158	14271.9385	37815.1069	12790.4676	57720.0964	118903.3254	14929.0746	327414.2345	16238.1794	153845.3064	202391.2965	24982.3968	16021.1711	d_Bacteria;p_Firmicutes;c_Bacilli
c_Alphaproteobacteria	53691.7864	14691.1667	71265.8785	76560.12	20207.8444	70713.1693	44963.4078	3010.4886	35514.8151	21195.7386	626.5522	279683.9006	18570.3799	56880.3798	343126.9359	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria
c_Campylobacteria	9150.389	956.3013	7474.2839	1848.5449	392164.5378	1694.0591	12186.5853	4447.1146	593.7312	193.1636	554.0275	12785.4571	210.0373	139081.8579	2071.2339	d_Bacteria;p_Campylobacterota;c_Campylobacteria
c_Bacteroidia	19650.7788	85004.2884	60822.6207	59079.5661	40216.6116	55395.331	58766.1197	3341.3765	21446.8937	18853.3413	1953.5176	35867.6226	2579.5086	48396.3262	791.0164	d_Bacteria;p_Bacteroidota;c_Bacteroidia
c_Fusobacteriia	206.9648	155.7837	1897.7948	260.853	2974.0454	84.7113	994.4072	170812.988	60.4742	3353.4942	9971.2687	2337.8993	41889.738	10431.9327	211.6077	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia
c_Unclassified_p_Proteobacteria	2628.8905	1797.2196	32146.4883	33933.8803	8824.3297	32604.6126	22261.9387	542.4752	6312.4805	615.5898	1031.9718	8651.4716	1405.9735	29621.012	8733.0353	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria
c_Negativicutes	383.6749	17.6253	9373.1831	13250.797	3590.2309	12013.1269	6599.6954	88.7836	5080.5315	3.357	64.1807	795.6483	134.3267	9559.4957	31.3486	d_Bacteria;p_Firmicutes C;c_Negativicutes
c_Cyanobacteriia	787.7253	1573.455	4902.3919	6274.7712	1539.193	6244.8541	4539.7158	57.5213	2457.0137	278.2701	6.1808	211.9938	59.1065	4822.361	47.5485	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia
c_Verrucomicrobiae	325.1198	2220.4429	4583.2474	4662.5742	1968.0517	5393.3785	3667.2848	215.8195	2348.6587	531.1879	25.7492	221.9928	111.6568	4225.6167	43.8263	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae
c_Aquificae	75.9896	85.6485	3274.0113	3727.8469	779.7938	3698.3562	2995.9616	136.5744	913.0075	7.514	3.4512	0.6751	1.7038	3069.7608	1.735	d_Bacteria;p_Aquificota;c_Aquificae
c_Polyangia	407.0634	1126.2423	3053.621	2377.764	1113.5006	3336.0495	3089.5084	0	915.5905	531.4598	6.4881	0	21.9217	2663.5162	9.676	d_Bacteria;p_Myxococcota;c_Polyangia
c_Anaerolineae	490.9485	1017.7533	2583.0621	3545.4837	1018.2056	3172.8338	2081.6449	47.5887	1051.2138	224.3115	20.1097	129.8099	67.5377	2885.5653	26.2237	d_Bacteria;p_Chloroflexota;c_Anaerolineae
c_Bacteriovoracia	175.6189	1036.0694	2795.5851	2656.8036	963.1123	2336.9472	1709.88	13.479	639.654	157.4619	0	2.07	36.0851	2540.7269	0	d_Bacteria;p_Bdellovibrionota;c_Bacteriovoracia
