genus	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
g_Photobacterium	157727.6363	35840.2106	1106173.422	1325708.1953	260927.1356	1377068.5446	827767.9597	702.49	1253257.5062	208.2111	891.5804	851.0008	2871.7682	811133.2551	270.8826	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Photobacterium
g_Nocardia	109560.0022	972397.2588	120318.3953	14804.5329	277952.3416	23766.5111	414342.2302	6328.6814	72770.463	82397.4857	1038.1991	1248.5757	5498.1821	59915.4335	404.1999	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Nocardia
g_Corynebacterium	158638.8929	279095.6226	5170.6435	1661.3507	13163.9885	3732.5484	11898.3545	25143.8586	114627.8647	406779.5495	4456.2116	19359.5317	63112.5466	4759.9839	55511.4531	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium
g_Clostridium P	2465.6039	413.2138	14236.5241	105.0825	1034.2244	204.1729	28791.8919	424314.0293	433.1856	55.4637	211405.6459	7729.7924	303670.6452	9582.4275	2613.8719	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium P
g_Helicobacter G	10779.8643	1311.282	14176.2519	3017.4172	523148.7924	3455.5604	24394.2818	3893.5651	795.8179	209.0987	442.4589	11975.9047	125.535	221239.5313	1805.1784	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter G
g_Escherichia	1269.6378	1284.464	456.2226	92.764	1414.6909	23.4529	276.32	5350.1178	6761.8743	1849.0541	591549.4158	9136.9438	154367.6626	48.985	550.7595	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia
g_Ligilactobacillus	298.5634	184.9384	142.8922	38.3107	1037.7408	1146.7745	40538.7877	104529.2963	8457.6071	328300.0857	11883.7017	151352.4556	34807.499	2564.9197	55.4005	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus
g_Unclassified_c_Actinomycetia	58754.6172	173501.2188	25635.2176	9318.3099	42955.1324	10823.0569	69814.8496	3202.747	25886.6015	34430.7332	466.87	3985.6849	10493.0178	13399.709	23453.3486	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Unclassified_c_Actinomycetia;f_Unclassified_c_Actinomycetia;g_Unclassified_c_Actinomycetia
g_Chitinophaga	22407.7357	190168.2999	32770.4062	21530.2389	46498.267	17310.9692	71505.4322	1061.7766	20416.8686	21035.6779	144.3319	215.6831	814.392	20836.603	67.1888	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Chitinophagaceae;g_Chitinophaga
g_Puniceibacterium	1712.5262	261.8824	92459.6582	108673.7095	10766.4602	94959.7174	51785.2562	32.1913	40754.2115	7.6245	29.2799	29.3585	127.081	62433.265	38.8758	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Puniceibacterium
g_Streptomyces	23167.4337	176588.2181	26555.7582	7271.5626	53065.2958	8777.7333	76049.1792	1479.7411	17304.6867	17764.7726	218.3416	460.7712	1314.0808	14156.041	423.8883	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptomycetales;f_Streptomycetaceae;g_Streptomyces
g_Unclassified_p_Proteobacteria	3677.4447	4321.3656	77012.6046	84522.9544	14378.2277	81585.745	54954.6022	597.3402	13306.3233	744.2519	1121.0882	9831.2078	1576.1023	59117.9136	9381.9365	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria;o_Unclassified_p_Proteobacteria;f_Unclassified_p_Proteobacteria;g_Unclassified_p_Proteobacteria
g_Arthrobacter D	4335.6855	20506.0887	66794.9779	77194.1397	22429.9759	72133.8879	55350.8175	159.11	16681.9921	3160.9249	216.9298	57.399	377.4603	51954.2254	232.2327	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter D
g_Alcanivorax	1418.0037	132.1728	66389.1106	76429.1316	8856.1427	72418.5879	47682.4534	1.3805	24685.7982	0	21.1398	32.5192	235.1513	44159.9285	8.0196	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Alcanivoracaceae;g_Alcanivorax
g_Rothia	96326.9793	32234.8029	1001.6059	108.1794	3224.7866	627.1378	4539.4534	4477.4633	86857.687	70667.3079	525.7488	5137.9276	8430.1457	1198.9386	4257.5779	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Rothia
g_Vibrio	262.0257	351.9893	53254.8326	76043.8687	7487.2031	69121.4257	33248.5034	1.928	8228.194	0	85.9758	85.6597	139.9484	43042.959	3.8564	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Vibrio
g_Paenibacillus O	15485.399	132316.0419	15176.325	1427.6535	35917.9988	3262.7443	55109.5771	922.664	9657.8792	12011.7328	150.3797	245.5645	740.0064	8654.7976	48.5871	d_Bacteria;p_Firmicutes;c_Bacilli;o_Paenibacillales;f_Paenibacillaceae;g_Paenibacillus O
g_Catellicoccus	17.2515	237.8194	53767.6641	598.4069	16630.8285	5433.8736	7650.5987	2542.2094	2.5241	96.6061	154.4505	39.5237	163965.6755	21506.057	11.3834	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Catellicoccaceae;g_Catellicoccus
g_Paraclostridium	2532.211	571.7383	8633.5516	10.1872	476.9254	42.4633	15369.8488	115083.8608	361.0542	237.2006	85179.2871	190.8829	34210.4285	3942.4602	1909.1174	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Paraclostridium
g_Pseudochrobactrum	4078.9285	776.8268	26.2997	0	354.111	19.3976	126.738	118.4966	1773.8067	409.6721	89.5462	3003.5539	5241.7536	39.8837	239240.732	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Pseudochrobactrum
g_Ancylomarina A	357.5636	0	50778.4832	58707.712	6530.2151	55867.9347	31112.6294	0	8626.9036	0	41.6867	15.4708	250.1797	34791.5942	8.6042	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Marinifilaceae;g_Ancylomarina A
g_Cetobacterium A	189.0481	372.33	2924.2301	499.002	2185.6001	185.6741	1462.8399	163010.8708	36.0239	990.5767	3708.625	1200.4232	39081.3917	16175.918	103.3189	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Cetobacterium A
g_Leucobacter	4524.3579	2527.002	227.2257	0	377.5235	117.9094	779.4185	399.8053	694.263	1914.7869	154.7262	4930.959	1908.3993	177.0091	192287.7035	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter
g_Paracoccus	41298.8111	4000.8286	246.4984	86.3532	1711.7865	457.1075	204.389	1126.3004	753.4724	18059.4947	104.7309	129524.5653	6501.678	87.4704	4011.3406	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus
g_TAE3-ERU5	45902.711	46524.955	1071.4849	0	1703.6213	754.3455	9654.8272	846.4594	68520.8335	15010.8693	132.0505	1265.9328	13152.7476	643.3097	2634.5286	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae;g_TAE3-ERU5
g_Kocuria	146984.4609	15217.021	164.6947	86.1445	395.685	575.5443	411.9616	8834.9249	1926.1662	9413.8951	774.3645	9670.9743	5440.0886	138.0564	2556.9763	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Kocuria
g_Unclassified_f_Vibrionaceae	2049.2636	449.9634	32833.8256	40405.054	6336.6555	37035.8644	26444.9986	3647.3396	17591.4593	30.0685	791.2103	64.5223	5891.7567	28031.4063	4.5327	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Unclassified_f_Vibrionaceae
g_Arachnia	64523.6777	3952.6859	124.6917	0	407.5962	398.9767	352.2874	3227.7127	1258.8053	1821.3977	210.2323	10577.7313	5422.2154	42.9088	108111.1533	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae;g_Arachnia
g_Methylocystis	252.2103	0	40567.9373	47976.3973	5112.7914	43179.8476	22508.3953	2.262	11103.7374	5.3572	9.3973	40.3901	79.0202	26783.0126	11.6249	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Beijerinckiaceae;g_Methylocystis
g_Unclassified_f_Burkholderiaceae	5929.3603	706.2557	837.7027	830.4908	480.1007	630.8177	1989.6051	363.3951	1776.2256	362.1537	46.9013	131718.0119	1875.9753	735.8512	2254.3464	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Unclassified_f_Burkholderiaceae
