phylum	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
p_Proteobacteria	306402.9399	123123.0834	1604371.3753	1906686.7096	362622.5486	1916971.5562	1238689.0816	32410.0097	1448094.4889	36868.1355	702170.7959	812998.2666	275009.724	1168133.0669	519295.4631	d_Bacteria;p_Proteobacteria
p_Actinobacteriota	961186.623	1828972.4919	297768.005	165156.5249	436674.9849	172131.9836	684893.3502	68483.8976	499890.0533	734820.2323	10576.2191	76621.9054	174432.7996	197217.2908	490464.4261	d_Bacteria;p_Actinobacteriota
p_Firmicutes A	51054.4145	32864.4809	78000.5753	59441.4899	17457.0093	64263.2642	100173.5014	669532.8742	19224.3446	5418.1975	341264.2511	11168.9788	393173.2864	58178.4474	42270.8127	d_Bacteria;p_Firmicutes A
p_Firmicutes	19618.8691	159539.6557	95797.414	35548.7317	61615.356	32005.2821	142484.6679	130928.9891	31469.5773	395845.858	17640.4338	174824.0359	226881.5017	49860.1188	17211.6113	d_Bacteria;p_Firmicutes
p_Bacteroidota	27637.5427	205328.9105	152286.5686	154606.0551	67225.9797	145383.9152	149125.6127	3836.4053	46698.8482	22859.8343	2136.3661	41021.4666	2995.5918	103496.7472	882.0615	d_Bacteria;p_Bacteroidota
p_Campylobacterota	12800.0955	2299.4005	17905.9704	4604.38	638986.8914	4239.0037	30083.1368	4896.8876	1251.5491	233.536	601.8708	14528.9138	235.4527	277580.9706	2225.1352	d_Bacteria;p_Campylobacterota
p_Fusobacteriota	289.5144	374.5777	4546.5034	649.7361	4845.8641	211.9711	2454.739	188088.6994	127.476	4054.3955	10832.3415	2656.7011	46958.5739	20820.1562	227.3311	d_Bacteria;p_Fusobacteriota
p_Firmicutes C	536.7067	42.3796	22455.1198	33005.2589	5849.8673	30060.161	16291.6465	97.763	10709.4501	4.0587	69.723	904.1448	150.5808	19078.9376	33.678	d_Bacteria;p_Firmicutes C
p_Myxococcota	1155.1686	7367.9521	18413.5376	18429.3474	4947.0853	20007.4844	16722.9285	71.1449	4798.9053	1653.8409	27.2498	121.3109	80.7305	14562.2289	30.5323	d_Bacteria;p_Myxococcota
p_Verrucomicrobiota	701.2923	6171.015	14987.703	17362.4429	3650.1782	18225.4203	11771.4818	321.3886	5955.9935	776.3351	34.5032	309.84	139.5086	11348.7726	49.7329	d_Bacteria;p_Verrucomicrobiota
p_Cyanobacteria	1106.7024	3892.6841	13098.4538	16409.8239	2758.905	17757.3374	13363.1982	114.6731	5401.7146	393.6141	12.0952	240.9018	66.2586	10884.4527	51.0816	d_Bacteria;p_Cyanobacteria
p_Chloroflexota	1356.5248	4415.1983	11844.3625	13393.087	3359.9133	13784.7257	9841.8166	106.657	3306.7074	443.0206	24.0053	179.7846	112.6617	8769.2291	199.6579	d_Bacteria;p_Chloroflexota
p_Aquificota	106.2987	205.9394	7843.4737	9285.37	1270.584	9254.3085	7395.6667	150.3872	1924.5641	9.0845	3.7492	0.7671	1.91	6126.6594	1.8639	d_Bacteria;p_Aquificota
