family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_Vibrionaceae	114471.8934	15652.1713	497714.386	578990.4935	168653.0407	592750.6548	359527.184	3952.0542	606810.3706	197.0871	1628.1657	881.0418	7964.1977	442029.8502	267.058	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae
f_Mycobacteriaceae	197639.0746	523513.4547	53879.9996	7648.5718	179490.2604	12358.5798	173973.4253	29269.4418	89909.3752	409675.2307	5134.938	18596.2637	62472.3347	33148.8797	54371.0809	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae
f_Clostridiaceae	4148.4975	226.2275	7938.5811	184.4761	753.7568	129.6191	13646.4457	461018.7232	318.8634	106.5968	214094.7499	8514.3116	296606.032	6037.3004	5001.079	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae
f_Enterobacteriaceae	2475.5357	5111.4293	865.614	306.843	2155.4944	379.207	11199.6174	15598.2769	5187.4906	3270.2684	629331.6103	10215.4933	178330.1212	1476.3013	1416.6507	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae
f_Lactobacillaceae	306.4132	524.8544	374.2294	173.0695	913.9408	549.1934	18708.7624	108261.0531	4478.8538	306028.2688	12659.5851	148810.9789	41647.6858	1593.6337	227.2559	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae
f_Micrococcaceae	186884.8931	30611.9061	28691.6633	31157.3606	16359.9734	29349.529	24938.4609	12954.3952	51971.997	95077.6069	1561.5424	14285.7534	14900.1633	27020.618	10821.9309	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae
f_Helicobacteraceae	8623.9091	774.6603	6525.1813	1466.4049	363531.7153	1571.3769	11203.7541	4012.8117	451.2066	178.0049	449.4331	11919.0935	167.7175	124489.1182	1885.3399	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae
f_Burkholderiaceae	15425.6912	2189.0975	2877.1076	3314.2846	2310.8903	2618.9468	3827.972	766.8377	2927.9717	1262.7785	220.8647	349935.0591	11109.5856	2891.2415	25340.3836	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae
f_Rhodobacteraceae	34477.9968	2911.3728	41529.5894	45526.8984	8713.3702	40210.0596	22809.4009	1288.9516	20633.0194	16172.9005	147.8174	129186.2998	6577.0567	33389.3407	7175.1679	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae
f_Peptostreptococcaceae	26247.5169	422.0053	4889.4867	4.0899	513.857	292.1398	8316.3881	128076.8561	256.2241	1496.2148	88630.2329	229.383	41116.2394	2520.4235	29534.6748	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae
f_Rhizobiaceae A	3905.3441	516.4289	18.5698	0	298.6468	11.5381	76.3415	159.3896	1045.0672	546.2544	102.9075	3922.2084	6379.2889	19.9837	281376.4284	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A
f_Unclassified_c_Actinomycetia	42001.8429	72157.6972	10700.6149	3741.0715	26362.7938	4325.2847	28281.7788	2908.5787	12280.5273	28478.5402	429.7581	3507.4062	9360.373	6713.92	21831.199	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Unclassified_c_Actinomycetia;f_Unclassified_c_Actinomycetia
f_Microbacteriaceae	11325.2602	5794.2285	5593.8996	5953.0533	3211.0165	5356.2362	4476.4399	1020.5495	3962.9012	5459.2375	245.3928	5534.0182	3338.7814	4185.8068	195586.3019	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae
f_Fusobacteriaceae	206.9648	155.7837	1693.8274	260.853	2958.5011	84.7113	985.1515	169648.5434	30.0451	823.1206	9850.2666	1455.5272	40924.3028	10374.4034	191.4968	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae
f_Chitinophagaceae	16244.8649	79383.0464	15271.3773	9877.8113	28961.7099	8322.211	30221.9318	1004.5572	10250.2738	17597.3456	1172.2071	277.2345	1192.4535	11212.1357	141.7351	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Chitinophagaceae
f_Streptomycetaceae	17089.93	74329.2762	12213.1166	4177.3633	33011.8776	5118.9444	31691.5511	1361.0171	8694.278	14943.2559	203.2447	410.0786	1187.2717	8151.3561	523.058	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptomycetales;f_Streptomycetaceae
f_Propionibacteriaceae	55885.7889	2829.2524	60.9026	68.3959	1213.8343	288.6326	254.1145	4328.4891	9091.1934	7712.2612	345.4885	10111.9824	7124.4797	132.4035	106739.7216	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae
f_Catellicoccaceae	12.3325	98.9071	22443.6194	240.2456	10206.8153	2171.5723	3099.2338	2308.7107	1.1974	79.9054	142.1731	34.7809	146266.7754	10775.6031	10.5961	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Catellicoccaceae
f_Unclassified_p_Proteobacteria	2628.8905	1797.2196	32146.4883	33933.8803	8824.3297	32604.6126	22261.9387	542.4752	6312.4805	615.5898	1031.9718	8651.4716	1405.9735	29621.012	8733.0353	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria;o_Unclassified_p_Proteobacteria;f_Unclassified_p_Proteobacteria
f_Xanthomonadaceae	20765.4568	397.8004	180.9126	301.6701	227.7	145.8103	301.537	2455.1246	502.3183	399.8844	98.0502	36180.8062	16677.1576	212.0032	71249.9953	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae
