genus	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
g_Pseudochrobactrum	790	25	3	0	39	2	6	48	246	74	137	5247	1353	3	1582975	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Pseudochrobactrum
g_Leucobacter	828	71	14	0	34	6	28	174	98	413	283	8509	485	8	1387535	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter
g_Escherichia	263	45	33	6	142	2	13	2192	946	393	988770	15668	38773	5	3814	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia
g_Arachnia	13707	154	9	0	45	23	16	1484	116	339	356	20221	1136	3	792613	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae;g_Arachnia
g_Clostridium P	499	15	1098	9	130	16	1717	184749	45	9	384382	14027	82141	860	17833	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium P
g_Corynebacterium	32199	10917	309	59	1713	238	773	10395	17308	91256	8407	36686	17016	480	403167	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium
g_Ligilactobacillus	30	8	13	2	120	95	2413	43108	1206	66269	20452	229563	8456	224	368	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus
g_Stenotrophomonas	2356	5	8	1	34	2	5	265	76	28	51	5111	4104	2	316953	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas
g_Unclassified_f_Burkholderiaceae	1338	15	43	43	55	32	69	154	243	76	119	270506	541	42	16810	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Unclassified_f_Burkholderiaceae
g_Photobacterium	13697	571	35704	37687	13849	45177	21466	107	78583	19	695	785	314	32404	814	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Photobacterium
g_Unclassified_c_Alphaproteobacteria	997	59	174	130	146	178	126	77	213	164	63	33888	372	130	230616	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified_c_Alphaproteobacteria;f_Unclassified_c_Alphaproteobacteria;g_Unclassified_c_Alphaproteobacteria
g_Paracoccus	7281	129	9	3	180	18	8	444	71	3365	166	223028	1506	7	23678	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus
g_Unclassified_c_Actinomycetia	10217	2206	568	233	1570	263	1217	1181	2223	5443	686	8149	2746	394	218008	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Unclassified_c_Actinomycetia;f_Unclassified_c_Actinomycetia;g_Unclassified_c_Actinomycetia
g_Giesbergeria	991	4	1	0	14	0	3	75	165	27	43	207795	126	1	4487	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Giesbergeria
