genus	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
g_Photobacterium	112754.5667	14905.6421	461737.2848	532239.1247	160138.4487	550326.3646	335326.2296	637.9672	594541.6599	172.2167	820.7079	748.8815	2561.7818	406418.0619	252.147	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Photobacterium
g_Nocardia	78321.0278	404411.8387	50223.1278	5943.6546	170587.3047	9497.9569	167848.7506	5747.3999	34522.0927	68153.068	955.6717	1098.7477	4904.6934	30020.6091	376.2434	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Nocardia
g_Clostridium P	1762.5833	171.8521	5942.589	42.188	634.7331	81.5949	11663.506	385341.3172	205.502	45.8755	194600.8155	6802.2242	270891.6113	4801.2723	2433.0836	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium P
g_Corynebacterium	113405.9956	116073.5213	2158.3224	666.9913	8079.1164	1491.6613	4819.9864	22834.4267	54379.1205	336457.7704	4101.9832	17036.405	56300.007	2384.9884	51672.0062	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium
g_Escherichia	907.6244	534.1978	190.4358	37.2425	868.2363	9.3726	111.9364	4858.7161	3207.8132	1529.3999	544526.6054	8040.5186	137704.798	24.5439	512.6662	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia
g_Ligilactobacillus	213.4336	76.9143	59.6459	15.3808	636.8912	458.2925	16422.137	94928.4114	4012.2638	271545.3984	10939.0553	133190.295	31050.283	1285.1522	51.5687	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus
g_Helicobacter G	7706.1887	545.3511	5917.4302	1211.4185	321071.3821	1380.9668	9882.0478	3535.9461	377.5337	172.9509	407.2874	10538.8067	111.9844	110851.9974	1680.3233	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter G
g_Unclassified_c_Actinomycetia	42001.8429	72157.6972	10700.6149	3741.0715	26362.7938	4325.2847	28281.7788	2908.5787	12280.5273	28478.5402	429.7581	3507.4062	9360.373	6713.92	21831.199	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Unclassified_c_Actinomycetia;f_Unclassified_c_Actinomycetia;g_Unclassified_c_Actinomycetia
g_Pseudochrobactrum	2915.8988	323.0757	10.978	0	217.328	7.752	51.3412	107.6128	841.4886	338.8503	82.4281	2643.1301	4675.9445	19.9837	222693.6588	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Pseudochrobactrum
g_Paraclostridium	1810.1987	237.7811	3603.8044	4.0899	292.7028	16.9699	6226.278	104513.5523	171.283	196.1947	78408.3067	167.9771	30517.662	1975.3684	1777.0733	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Paraclostridium
g_Chitinophaga	16018.5912	79089.3959	13678.9748	8643.8596	28537.3169	6918.089	28966.6285	964.2537	9685.7022	17399.1473	132.8588	189.8013	726.4843	10440.1733	62.5417	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Chitinophagaceae;g_Chitinophaga
g_Rothia	68861.1525	13406.1833	418.0889	43.4314	1979.1438	250.6269	1838.9185	4066.2139	41205.0302	58450.738	483.9565	4521.3808	7520.1728	600.7278	3963.1028	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Rothia
g_Streptomyces	16561.6757	73441.5542	11084.8656	2919.3529	32567.6903	3507.8995	30807.2863	1343.8287	8209.2923	14693.6978	200.9854	405.479	1172.2353	7092.8799	394.5701	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptomycetales;f_Streptomycetaceae;g_Streptomyces
g_Cetobacterium A	135.1446	154.8489	1220.6278	200.337	1341.3653	74.2021	592.5919	148038.5265	17.0896	819.3313	3413.823	1056.3735	34862.8402	8104.9386	96.1729	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Cetobacterium A
g_Puniceibacterium	1224.2316	108.9147	38594.3747	43629.8125	6607.6847	37949.3354	20978.0464	29.2346	19333.6776	6.3064	26.9524	25.8355	113.3636	31282.1677	36.187	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Puniceibacterium
g_Catellicoccus	12.3325	98.9071	22443.6194	240.2456	10206.8153	2171.5723	3099.2338	2308.7107	1.1974	79.9054	142.1731	34.7809	146266.7754	10775.6031	10.5961	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Catellicoccaceae;g_Catellicoccus
g_Leucobacter	3234.3223	1050.9589	94.8482	0	231.697	47.1209	315.74	363.0837	329.3563	1583.7692	142.4269	4339.2483	1702.4015	88.6903	178988.1341	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter
g_Unclassified_p_Proteobacteria	2628.8905	1797.2196	32146.4883	33933.8803	8824.3297	32604.6126	22261.9387	542.4752	6312.4805	615.5898	1031.9718	8651.4716	1405.9735	29621.012	8733.0353	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria;o_Unclassified_p_Proteobacteria;f_Unclassified_p_Proteobacteria;g_Unclassified_p_Proteobacteria
g_Arthrobacter D	3099.4463	8528.3097	27881.4616	30991.5421	13765.9179	28827.3089	22422.4442	144.496	7913.8878	2614.4819	199.6859	50.5112	336.7162	26031.6483	216.1703	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter D
g_Paracoccus	29523.2317	1663.911	102.893	34.6687	1050.5723	182.6767	82.7973	1022.8511	357.4451	14937.47	96.4058	113981.7322	5799.8692	43.827	3733.8964	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus
g_Arachnia	46125.9643	1643.8888	52.0486	0	250.1535	159.4455	142.7105	2931.2513	597.1735	1506.5246	193.5208	9308.4129	4836.9268	21.4995	100633.6508	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae;g_Arachnia
