order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_Enterobacterales	165502.2635	57299.394	1221553.0499	1472458.9971	286146.5686	1512335.1458	963347.8865	22768.4592	1305004.0393	5370.8179	693391.65	15613.1708	210320.2253	906106.3799	2051.7887	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales
o_Mycobacteriales	282340.8931	1264367.0193	134832.4761	23354.1645	293891.6933	35194.3239	433316.513	32598.8537	192526.1661	497514.6837	5598.2187	21630.137	70493.2666	70306.1628	59880.3652	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales
o_Actinomycetales	509041.0569	194231.6912	99446.8272	111775.1707	40386.6766	104576.1124	95401.6084	25751.0535	237699.5901	173344.6365	3466.2752	31555.8341	83032.5794	89403.7433	286409.5628	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales
o_Clostridiales	5863.2803	543.9578	19036.8215	459.4956	1228.1599	324.3429	33729.1584	509580.8134	674.6116	128.8762	233318.3857	9705.5581	333653.2702	12082.8283	5417.67	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales
o_Lactobacillales	2045.7799	20723.9404	62752.4778	7317.3852	20260.0484	11491.2236	57336.542	124049.8433	13895.5595	377237.066	14694.3103	170380.7795	217264.9633	28829.4102	14488.0702	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales
o_Campylobacterales	12715.6799	2299.4005	17470.1648	4599.4206	636430.7165	4193.8162	29860.4089	4863.3864	1240.3224	232.2275	598.8195	14479.7508	235.4527	276537.076	2214.3515	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales
o_Rhodobacterales	48229.8242	7000.3167	99491.4847	113398.9959	14197.4319	100616.6736	56306.0374	1419.3138	43493.1447	19553.1379	160.5822	146802.4656	7372.9085	66638.782	7708.313	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales
o_Burkholderiales	22124.1765	5870.3752	10732.5618	12400.2465	4894.8237	9439.2937	11580.639	918.1445	7703.4089	1686.5307	358.4866	407113.8244	13043.5713	8041.9627	28273.8958	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales
o_Unclassified_c_Actinomycetia	58754.6172	173501.2188	25635.2176	9318.3099	42955.1324	10823.0569	69814.8496	3202.747	25886.6015	34430.7332	466.87	3985.6849	10493.0178	13399.709	23453.3486	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Unclassified_c_Actinomycetia
o_Chitinophagales	22848.983	191180.5667	39102.2415	27993.6741	47560.15	23156.7076	76354.2857	1275.2368	22109.7547	21288.6438	1301.469	367.7899	1519.9888	24647.0172	176.4349	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales
o_Pseudomonadales	7750.5305	5010.8214	78649.6109	93991.5331	12758.8146	90212.0029	59640.3517	1635.7527	30410.4118	1119.4674	528.0052	10401.246	7965.5166	52516.986	30722.7133	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales
o_Streptomycetales	23954.8628	178797.2512	29258.6833	10405.0312	53796.5059	12809.0126	78232.0267	1498.6679	18327.0071	18066.4899	220.796	471.9081	1330.9366	16268.5584	578.9377	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptomycetales
o_Unclassified_p_Proteobacteria	3677.4447	4321.3656	77012.6046	84522.9544	14378.2277	81585.745	54954.6022	597.3402	13306.3233	744.2519	1121.0882	9831.2078	1576.1023	59117.9136	9381.9365	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria;o_Unclassified_p_Proteobacteria
o_Peptostreptococcales	37123.9207	3327.0003	12728.3662	909.8761	1229.9118	1959.5722	21705.9186	141977.0755	954.3638	2165.4591	96400.2863	284.3039	46337.2232	5847.3998	32103.9418	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales
o_Bacteroidales	1780.36	5972.0205	63563.4228	75755.2625	10051.6686	70009.861	41467.5518	539.2777	13928.9965	895.2529	528.9404	510.4146	732.2864	46313.4866	231.8572	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales
o_Rhizobiales A	5463.0222	1241.7393	44.4872	0	486.6106	28.8716	188.4524	175.51	2202.9378	660.425	111.7942	4457.0505	7151.2099	39.8837	302283.8776	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A
o_Paenibacillales	15681.9047	133739.7562	16967.8613	5161.6043	36991.7285	5336.6118	57415.7687	1002.3316	10054.9547	12157.405	458.6542	464.2627	1115.9171	11245.4654	154.9353	d_Bacteria;p_Firmicutes;c_Bacilli;o_Paenibacillales
