phylum	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
p_Proteobacteria	40284	2168	53373	55434	19954	64042	34854	9153	93925	6113	1261854	1439521	67425	48228	3493982	d_Bacteria;p_Proteobacteria
p_Actinobacteriota	165120	32753	7389	3859	17765	4689	13234	24881	54597	142063	16250	135511	42979	6306	3645636	d_Bacteria;p_Actinobacteriota
p_Firmicutes A	9190	741	4550	2663	1363	3105	4734	290203	2007	853	607683	19246	107585	4316	267483	d_Bacteria;p_Firmicutes A
p_Firmicutes	987	1450	5836	970	3615	1408	4672	55745	2517	81919	31209	279361	63401	3467	105331	d_Bacteria;p_Firmicutes
p_Campylobacterota	2598	88	1444	297	87459	347	1952	2251	173	61	1187	27966	75	28522	16902	d_Bacteria;p_Campylobacterota
p_Fusobacteriota	44	20	381	45	660	17	164	88387	12	430	23330	3720	13275	2215	1380	d_Bacteria;p_Fusobacteriota
p_Bacteroidota	2445	2862	4072	3677	3005	3965	3218	1432	2825	2022	2797	69341	505	3476	4820	d_Bacteria;p_Bacteroidota
p_Firmicutes C	68	1	1074	1386	459	1457	627	45	990	1	93	291	26	1128	96	d_Bacteria;p_Firmicutes C
p_Dependentiae	0	0	17	14	10	42	9	0	0	0	5	11	1	14	6088	d_Bacteria;p_Dependentiae
p_Myxococcota	112	127	643	545	263	680	435	10	329	178	53	638	10	575	120	d_Bacteria;p_Myxococcota
p_Aquificota	31	4	597	742	179	776	469	126	299	1	7	3	1	743	12	d_Bacteria;p_Aquificota
p_Cyanobacteria	130	59	526	608	167	643	382	20	348	43	7	206	13	514	126	d_Bacteria;p_Cyanobacteria
p_Chloroflexota	98	57	363	308	128	354	206	15	180	38	35	332	19	327	1121	d_Bacteria;p_Chloroflexota
p_Verrucomicrobiota	66	70	448	472	157	521	301	74	365	55	32	381	13	448	158	d_Bacteria;p_Verrucomicrobiota
p_Patescibacteria	469	43	150	135	61	175	92	85	171	59	51	43	7	178	401	d_Bacteria;p_Patescibacteria
p_Acidobacteriota	101	124	88	108	88	140	120	39	95	96	18	63	4	112	578	d_Bacteria;p_Acidobacteriota
p_SAR324	526	3	34	31	40	31	18	0	724	0	2	32	1	323	9	d_Bacteria;p_SAR324
p_KSB1	2	0	161	129	34	134	97	2	51	0	703	26	63	91	4	d_Bacteria;p_KSB1
p_Fibrobacterota	8	1	248	202	56	219	119	2	138	0	8	2	1	197	10	d_Bacteria;p_Fibrobacterota
p_Bdellovibrionota	26	37	186	158	73	141	85	2	86	23	16	133	6	182	42	d_Bacteria;p_Bdellovibrionota
p_Desulfobacterota	39	44	80	70	55	91	64	11	61	35	1	86	4	105	380	d_Bacteria;p_Desulfobacterota
p_Myxococcota A	32	39	151	168	41	210	75	1	130	27	6	2	1	159	1	d_Bacteria;p_Myxococcota A
p_Firmicutes E	8	3	78	50	8	61	23	1	66	0	0	0	3	39	655	d_Bacteria;p_Firmicutes E
p_Spirochaetota	77	15	71	90	100	65	44	43	49	7	3	29	8	106	265	d_Bacteria;p_Spirochaetota
p_Nitrospirota	3	22	116	105	23	98	58	21	95	10	25	1	1	65	6	d_Bacteria;p_Nitrospirota
p_Gemmatimonadota	46	33	77	40	9	56	51	0	33	24	1	37	0	41	119	d_Bacteria;p_Gemmatimonadota
p_Deinococcota	147	1	9	4	11	0	0	20	10	9	1	54	5	6	249	d_Bacteria;p_Deinococcota
p_Firmicutes B	2	1	36	51	11	22	9	91	9	14	138	12	16	23	89	d_Bacteria;p_Firmicutes B
p_Dormibacterota	1	0	16	3	6	26	7	0	11	0	0	8	0	8	383	d_Bacteria;p_Dormibacterota
p_Chlamydiota	8	5	71	31	37	61	49	0	78	19	5	11	1	40	6	d_Bacteria;p_Chlamydiota
p_Thermotogota	0	0	0	0	0	0	0	0	0	0	360	26	2	0	18	d_Bacteria;p_Thermotogota
p_Elusimicrobiota	0	0	16	34	3	23	13	3	12	0	49	0	0	25	137	d_Bacteria;p_Elusimicrobiota
p_Desulfobacterota I	1	2	12	7	7	17	13	122	16	3	15	38	13	14	35	d_Bacteria;p_Desulfobacterota I
p_Synergistota	5	4	25	36	16	56	32	12	11	2	32	3	1	37	33	d_Bacteria;p_Synergistota
p_Desulfobacterota B	4	8	53	52	9	44	15	0	28	15	0	0	1	31	5	d_Bacteria;p_Desulfobacterota B
p_Firmicutes G	3	0	30	6	6	8	8	2	10	3	5	151	0	2	0	d_Bacteria;p_Firmicutes G
p_Nitrospinota	1	0	42	31	7	31	19	3	36	3	0	0	0	39	1	d_Bacteria;p_Nitrospinota
p_Marinisomatota	9	9	26	25	19	17	17	2	25	7	1	6	0	8	0	d_Bacteria;p_Marinisomatota
p_Armatimonadota	9	11	18	1	8	28	10	0	32	35	0	0	0	9	1	d_Bacteria;p_Armatimonadota
p_Firmicutes H	1	0	22	18	4	23	12	2	50	0	1	0	1	5	1	d_Bacteria;p_Firmicutes H
p_Firmicutes F	2	0	0	0	2	10	0	14	3	0	73	2	0	0	26	d_Bacteria;p_Firmicutes F
