species	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
s_Photobacterium chitinilyticum	112754.5667	14905.6421	461737.2848	532216.6733	160138.4487	550307.0133	335207.5816	162.1196	594537.3415	172.2167	731.1967	686.41	2076.1977	406418.0619	246.5561	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Photobacterium;s_Photobacterium chitinilyticum
s_Nocardia nova B	78107.563	404200.6127	50142.3539	5902.634	170487.5516	9282.5545	167693.6184	5740.0125	34303.2521	67816.706	952.3754	1053.3449	4851.4106	29878.8439	345.1752	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Nocardia;s_Nocardia nova B
s_Clostridium P perfringens	1622.0907	129.2269	5870.525	37.1996	634.7331	81.5949	11538.7418	377876.9533	185.0452	29.1837	191637.5283	6692.1577	266364.656	4712.9074	2361.8557	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium P;s_Clostridium P perfringens
s_Unclassified_g_Ligilactobacillus	156.6068	53.2014	47.6825	0	392.3025	305.2943	9264.7516	54231.8415	2353.9469	168148.213	6260.7139	62417.141	21994.8472	732.006	25.917	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus;s_Unclassified_g_Ligilactobacillus
s_Corynebacterium falsenii	51764.4458	46464.0195	1077.1052	160.5836	4987.0642	480.4106	2789.0477	10796.9043	30456.4951	124698.0282	2645.2785	2736.3813	25912.5365	1469.8188	11717.3174	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium falsenii
s_Unclassified_c_Actinomycetia	42001.8429	72157.6972	10700.6149	3741.0715	26362.7938	4325.2847	28281.7788	2908.5787	12280.5273	28478.5402	429.7581	3507.4062	9360.373	6713.92	21831.199	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Unclassified_c_Actinomycetia;f_Unclassified_c_Actinomycetia;g_Unclassified_c_Actinomycetia;s_Unclassified_c_Actinomycetia
s_Unclassified_g_Helicobacter G	4493.1062	362.5758	3458.508	710.278	185843.9068	733.1011	5762.8129	1986.388	203.199	74.3202	249.0105	5575.5988	65.6573	61602.2315	948.0542	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter G;s_Unclassified_g_Helicobacter G
s_Escherichia ruysiae	220.8714	327.5918	18.8335	17.7015	225.678	9.3726	56.5072	1562.2502	1193.7104	440.2751	210585.6815	1576.4891	29335.2462	3.5738	122.0676	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia ruysiae
s_Chitinophaga agrisoli	15960.6375	78270.5664	13562.799	8589.6568	28483.5177	6841.8646	28889.2746	964.2537	9626.8545	17217.4581	132.8588	187.9967	722.924	10318.5203	57.61	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Chitinophagaceae;g_Chitinophaga;s_Chitinophaga agrisoli
s_Unclassified_g_Escherichia	344.3846	100.0141	69.9648	9.0443	190.0312	0	20.1755	1504.4717	926.6092	469.17	159089.9043	2658.4811	44341.6298	10.9928	228.2071	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Unclassified_g_Escherichia
