function	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
K00001	21.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	10.0000	2.0000	0.0000	667.0000	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
K00003	126.0000	15.0000	1.0000	0.0000	49.0000	1.0000	6.0000	92.0000	55.0000	73.0000	42.0000	1138.0000	67.0000	49.0000	2964.0000	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00004	27.0000	2.0000	0.0000	0.0000	2.0000	0.0000	1.0000	1.0000	33.0000	8.0000	4.0000	13.0000	9.0000	0.0000	798.0000	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	20.0000	8.0000	2.0000	0.0000	2.0000	0.0000	3.0000	272.0000	11.0000	48.0000	1189.0000	33.0000	105.0000	7.0000	246.0000	gldA; glycerol dehydrogenase [EC:1.1.1.6]
K00007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	90.0000	0.0000	0.0000	0.0000	0.0000	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0000	0.0000	0.0000	43.0000	27.0000	0.0000	0.0000	1606.0000	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0000	3.0000	0.0000	926.0000	26.0000	49.0000	0.0000	109.0000	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	76.0000	3.0000	0.0000	0.0000	2.0000	0.0000	9.0000	31.0000	6.0000	22.0000	212.0000	108.0000	7.0000	3.0000	2003.0000	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00012	123.0000	7.0000	4.0000	0.0000	91.0000	2.0000	4.0000	88.0000	18.0000	121.0000	645.0000	738.0000	58.0000	6.0000	3193.0000	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	130.0000	12.0000	0.0000	0.0000	3.0000	0.0000	7.0000	10.0000	78.0000	74.0000	20.0000	1036.0000	51.0000	2.0000	4057.0000	hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00014	89.0000	6.0000	7.0000	0.0000	34.0000	2.0000	5.0000	287.0000	2.0000	57.0000	1111.0000	750.0000	246.0000	34.0000	3202.0000	aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00015	19.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	2.0000	1.0000	142.0000	2.0000	0.0000	280.0000	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00016	71.0000	12.0000	12.0000	0.0000	4.0000	0.0000	12.0000	490.0000	27.0000	442.0000	696.0000	1028.0000	271.0000	8.0000	1484.0000	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
K00018	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	5.0000	69.0000	0.0000	0.0000	99.0000	23.0000	16.0000	1.0000	41.0000	hprA; glycerate dehydrogenase [EC:1.1.1.29]
K00019	58.0000	0.0000	3.0000	2.0000	2.0000	2.0000	1.0000	12.0000	33.0000	1.0000	7.0000	441.0000	6.0000	8.0000	624.0000	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	42.0000	1.0000	8.0000	8.0000	1.0000	24.0000	4.0000	11.0000	6.0000	35.0000	1.0000	1518.0000	19.0000	12.0000	3918.0000	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	6.0000	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	3.0000	48.0000	0.0000	7.0000	0.0000	0.0000	128.0000	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	0.0000	0.0000	0.0000	5.0000	1.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023	30.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0000	3.0000	8.0000	1.0000	0.0000	630.0000	13.0000	0.0000	666.0000	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	107.0000	11.0000	1.0000	0.0000	1.0000	0.0000	0.0000	26.0000	41.0000	93.0000	674.0000	824.0000	61.0000	1.0000	3868.0000	mdh; malate dehydrogenase [EC:1.1.1.37]
K00025	0.0000	0.0000	0.0000	0.0000	0.0000	17.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	MDH1; malate dehydrogenase [EC:1.1.1.37]
K00027	30.0000	5.0000	0.0000	0.0000	1.0000	0.0000	6.0000	147.0000	6.0000	146.0000	79.0000	423.0000	36.0000	2.0000	630.0000	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00029	47.0000	1.0000	16.0000	1.0000	4.0000	2.0000	5.0000	3.0000	4.0000	0.0000	1.0000	854.0000	10.0000	9.0000	2705.0000	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.0000	0.0000	0.0000	1.0000	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	197.0000	18.0000	2.0000	0.0000	6.0000	3.0000	2.0000	20.0000	67.0000	106.0000	695.0000	1040.0000	51.0000	2.0000	4336.0000	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00032	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.0000	E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	96.0000	19.0000	0.0000	0.0000	6.0000	0.0000	5.0000	127.0000	14.0000	323.0000	986.0000	912.0000	81.0000	2.0000	2064.0000	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	63.0000	0.0000	0.0000	39.0000	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0000	0.0000	158.0000	0.0000	0.0000	65.0000	gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]
