function	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
K00001	88.6121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.9878	0.0000	0.0000	0.0000	4.6218	6.3617	0.0000	83.1099	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
K00003	440.3755	280.5663	9.5159	0.0000	282.4092	9.1675	74.4086	173.2691	263.8745	237.7987	17.5512	442.0802	180.9485	379.5497	313.3390	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00004	113.0919	45.6578	0.0000	0.0000	13.7839	0.0000	14.0325	1.9822	192.3956	31.9682	1.9264	6.1538	28.4764	0.0000	99.0602	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	80.7496	176.2259	21.5798	0.0000	13.6636	0.0000	41.5167	524.3340	61.5470	184.3361	552.2350	15.1181	322.6243	63.7041	29.1456	gldA; glycerol dehydrogenase [EC:1.1.1.6]
K00007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.8313	0.0000	0.0000	0.0000	0.0000	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	38.6221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.1098	0.0000	0.0000	21.1242	12.9861	0.0000	0.0000	204.1023	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.3692	16.2592	0.0000	414.4895	11.4396	144.4582	0.0000	12.0614	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	341.2730	74.9859	0.0000	0.0000	15.0075	0.0000	134.6436	62.8654	38.1320	96.0121	105.7757	54.1761	23.4874	27.9456	263.0026	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00012	415.2279	126.8342	36.6783	0.0000	507.0897	18.0430	45.6614	139.5291	81.8448	377.3402	277.8752	292.4868	157.0724	44.4334	316.9707	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	436.6641	219.8273	0.0000	0.0000	16.3213	0.0000	78.6693	15.1977	439.5217	230.9940	10.1423	398.7454	129.4451	14.4872	413.6475	hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00014	470.8925	171.2918	102.8098	0.0000	305.4931	28.5699	92.1700	743.9315	13.7045	288.0088	702.9202	447.8507	1009.8118	405.2956	499.0466	aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00015	85.3991	25.0721	0.0000	0.0000	0.0000	0.0000	0.0000	2.1129	0.0000	8.4549	0.5149	71.6065	6.7320	0.0000	37.1825	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00016	325.9067	301.9520	156.5200	0.0000	31.8852	0.0000	186.7705	1085.4714	169.0425	1958.7579	374.6876	540.1980	975.2059	84.0424	204.7252	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
K00018	0.0000	0.0000	0.0000	0.0000	7.7899	0.0000	80.0045	154.6042	0.0000	0.0000	54.9456	12.3947	58.3924	10.3513	5.6297	hprA; glycerate dehydrogenase [EC:1.1.1.29]
K00019	365.4552	0.0000	148.0981	112.1836	38.8750	97.1378	19.6308	32.7739	368.0198	5.4600	4.7031	283.7114	26.8309	319.0739	108.4560	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	215.9370	27.8041	385.4877	432.8344	8.3187	1126.4548	253.1438	25.6719	132.5307	177.5687	0.5813	865.3002	86.1205	496.3256	580.9502	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	25.6311	69.6552	0.0000	0.0000	0.0000	0.0000	0.0000	2.0047	17.7936	194.9338	0.0000	3.3748	0.0000	0.0000	15.8028	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	0.0000	0.0000	0.0000	452.0557	48.3796	0.0000	99.0582	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	64.2871	0.0000	HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023	183.5819	0.0000	0.0000	0.0000	0.0000	0.0000	60.5503	8.5742	68.9045	5.8893	0.0000	434.8993	58.9674	0.0000	117.9147	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	484.9243	273.1558	12.1189	0.0000	7.3684	0.0000	0.0000	63.7510	266.6835	382.2043	368.8368	430.3267	210.5686	9.5333	521.3853	mdh; malate dehydrogenase [EC:1.1.1.37]
K00025	0.0000	0.0000	0.0000	0.0000	0.0000	1130.1086	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	MDH1; malate dehydrogenase [EC:1.1.1.37]
