KEGG_L3	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
ko00010	75.6481	8.6111	8.1296	3.3148	37.3519	3.2963	7.9074	182.7593	22.2407	136.9444	641.2963	659.4815	121.1296	15.3148	2706.2407	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis
ko00020	97.0588	8.2353	3.2647	0.9118	43.4412	1.8235	4.5294	43.1765	27.2941	71.0294	475.6176	603.2647	59.2647	16.4706	2923.0294	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle)
ko00030	41.6047	4.9302	4.2791	1.2791	21.8372	1.7209	6.093	132.6977	17.4419	111.8837	500.093	552.7209	82.9535	11.6744	1740.7209	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway
ko00040	16.4444	1.3333	1.4222	0.6222	10.7778	0.8222	1.8	47.2	4.4667	8.2667	449.4222	97.7556	39.3778	2.6444	642.4444	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions
ko00051	32.2143	3.8929	4.1786	0.8571	18.4107	1.0357	4.6964	138.3571	11.2857	82.9107	536.625	298.0893	78.9286	8.1607	1039.0179	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism
ko00052	41.7436	5.8205	3.9487	0	12.9231	1.0513	5.7436	214.5385	14.8718	97.6154	723.6667	345.8205	119.3333	7.1795	1259.7179	Metabolism; Carbohydrate metabolism; Galactose metabolism
ko00053	12.9677	1.3548	2.871	1.871	0	0	1.9355	53.3548	3.7419	7.5806	332.2903	155.129	33.5484	2.1935	638.3871	Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism
ko00061	65.4762	6.8095	4.3333	2.2381	61.5714	3.2857	8.619	189.381	20.1905	94.4286	469.0952	887.619	90.8571	16.3333	2875.619	Metabolism; Lipid metabolism; Fatty acid biosynthesis
ko00062	1	0.25	4.0833	4.1667	0.75	5.4167	1.9167	0	4.9167	0	0	0	0	5.5833	0	Metabolism; Lipid metabolism; Fatty acid elongation
ko00071	45.6667	6.4333	4.9	5.3	3.7333	3.5667	3.9333	59.7333	13.3667	52.1	420.2667	568.3667	49.9667	3.4667	2237.4667	Metabolism; Lipid metabolism; Fatty acid degradation
ko00100	0.5294	0.5294	2.3529	1.1765	1.3529	0.7059	1.9412	0.1176	1.0588	0.2941	0.1176	0	0.0588	0.7059	0.3529	Metabolism; Lipid metabolism; Steroid biosynthesis
ko00120	8	1.3333	5.1111	1	17.7778	2.1111	5.4444	0	1.2222	21.2222	16.1111	0	0	6.5556	0	Metabolism; Lipid metabolism; Primary bile acid biosynthesis
ko00121	7.375	0.25	6.25	0.125	25.375	0.5	4.625	80.5	0.75	23.125	282.75	415.75	69.5	8.625	777.125	Metabolism; Lipid metabolism; Secondary bile acid biosynthesis
ko00130	31.4333	3.5667	2.6	0.9	32.7	0.5333	5.8	8.1	11.4	30.5333	422.1333	201.8333	24.7	14.2	966	Metabolism; Metabolism of cofactors and vitamins; Ubiquinone and other terpenoid-quinone biosynthesis
ko00140	1.25	1.0833	0.5417	0.6667	1.0417	0.8333	1.5417	0	1.2917	1.8333	0.0417	0.5	0.0833	1.6667	21.5833	Metabolism; Lipid metabolism; Steroid hormone biosynthesis
