KEGG_L3	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
ko00010	207.6716	93.4735	76.9342	65.8424	169.5702	50.0821	62.6952	297.2555	76.9252	428.0295	249.2057	244.3527	315.2513	97.3599	264.7786	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis
ko00020	239.8774	117.1841	36.507	19.0704	233.771	38.1561	51.0182	79.8646	83.4668	206.7221	167.4566	215.6002	141.5105	87.7442	262.9514	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle)
ko00030	133.5815	51.9528	36.1282	21.0337	98.0772	30.439	51.4063	250.943	62.4595	363.8127	217.6234	222.7	238.8134	75.8759	198.7241	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway
ko00040	51.3048	15.8134	7.4166	10.0514	55.0223	7.5569	14.8152	94.4902	15.9024	28.1027	187.1321	44.3324	113.0457	16.3688	71.1926	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions
ko00051	94.6459	44.7688	28.4407	15.2925	92.3139	13.3757	30.5037	267.1679	36.5875	238.9837	245.1848	122.1018	232.1782	51.5509	119.0248	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism
ko00052	115.8969	70.3005	18.6685	0	57.387	7.3605	32.3506	317.8678	41.5209	284.5519	316.433	127.6779	298.7883	34.6346	130.8077	Metabolism; Carbohydrate metabolism; Galactose metabolism
ko00053	46.5376	27.22	26.3346	32.8923	0	0	20.4946	118.4395	20.6608	26.0147	151.7339	57.3813	96.7611	26.3131	59.1171	Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism
ko00061	187.5769	42.4058	46.285	46.0901	323.5882	48.3556	69.3977	391.1734	67.8625	269.9638	238.2252	427.9762	295.4492	93.6206	301.8608	Metabolism; Lipid metabolism; Fatty acid biosynthesis
ko00062	13.7528	11.8458	36.8995	61.613	10.4534	53.2042	25.7028	0	30.7846	0	0	0	0	71.396	0	Metabolism; Lipid metabolism; Fatty acid elongation
ko00071	120.8508	77.7919	72.8204	109.9578	28.3053	59.8027	43.9109	90.9117	45.7167	132.0963	136.4383	188.0864	116.1345	45.2027	211.1613	Metabolism; Lipid metabolism; Fatty acid degradation
ko00100	8.0564	28.4425	20.8886	9.6304	20.8794	5.6077	33.9393	0.6806	10.4941	6.2167	0.2915	0	0.3903	7.7401	0.1457	Metabolism; Lipid metabolism; Steroid biosynthesis
ko00120	28.8106	34.4921	38.0478	19.2239	97.1943	34.165	90.3045	0	9.8256	90.9778	7.7873	0	0	58.6556	0	Metabolism; Lipid metabolism; Primary bile acid biosynthesis
ko00121	23.3915	2.5142	29.886	0.8853	116.7492	2.164	28.912	145.6101	2.1134	85.9373	125.1383	173.6125	193.7292	43.1774	85.1852	Metabolism; Lipid metabolism; Secondary bile acid biosynthesis
ko00130	101.953	32.4224	22.2098	9.688	161.5766	6.7762	54.1221	16.9929	36.1444	93.4445	200.3877	95.4848	70.9793	87.2683	117.5814	Metabolism; Metabolism of cofactors and vitamins; Ubiquinone and other terpenoid-quinone biosynthesis
ko00140	10.1049	34.7996	11.036	13.0745	15.692	11.684	26.279	0	10.5327	21.5891	0.0814	0.3453	0.6228	24.0369	3.5836	Metabolism; Lipid metabolism; Steroid hormone biosynthesis
ko00190	108.0435	41.8612	21.46	9.5099	100.8243	14.7937	32.7675	74.5411	35.7627	129.3056	74.47	140.764	103.5273	40.5321	123.7107	Metabolism; Energy metabolism; Oxidative phosphorylation
ko00195	0	51.7027	0	0	0	0	0	0	31.127	0	0	0	0	0	0	Metabolism; Energy metabolism; Photosynthesis
ko00220	148.5409	46.3534	9.0779	17.7352	163.4468	6.2764	36.6338	128.3461	51.412	121.6431	201.2065	175.0938	125.6598	69.948	179.1494	Metabolism; Amino acid metabolism; Arginine biosynthesis
ko00230	159.5532	64.461	34.7707	15.5896	149.3637	17.9932	46.5558	218.0367	58.522	227.4629	216.5947	175.8663	208.3869	66.9202	164.9424	Metabolism; Nucleotide metabolism; Purine metabolism
ko00240	178.4062	74.9551	45.2578	27.7739	221.5762	20.7536	57.1489	308.1769	72.1449	241.8929	309.8758	237.3844	366.739	98.5793	229.0359	Metabolism; Nucleotide metabolism; Pyrimidine metabolism
ko00250	238.1555	107.6492	63.0642	38.3867	286.674	39.9529	94.8743	282.9004	96.6515	272.1424	315.9309	248.6215	286.619	137.793	265.4715	Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism
ko00260	162.3579	75.0345	96.9668	68.2101	118.7121	61.3663	73.9877	122.2501	62.0287	152.2002	223.1226	203.5404	168.5288	84.273	221.6837	Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism
ko00261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206.312	Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis
