KEGG_KO	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
K00001	63.3460	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8052	0.0000	0.0000	0.0000	4.0672	5.6750	0.0000	77.3616	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
K00003	314.8107	116.6852	3.9721	0.0000	173.3226	3.6637	30.1427	157.3545	125.1813	196.6894	16.1561	389.0310	161.4165	190.1733	291.6669	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00004	80.8459	18.9887	0.0000	0.0000	8.4596	0.0000	5.6845	1.8001	91.2719	26.4417	1.7732	5.4154	25.4026	0.0000	92.2087	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	57.7254	73.2909	9.0078	0.0000	8.3857	0.0000	16.8183	476.1746	29.1977	152.4691	508.3373	13.3040	287.7994	31.9189	27.1298	gldA; glycerol dehydrogenase [EC:1.1.1.6]
K00007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	31.1420	0.0000	0.0000	0.0000	0.0000	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	27.6097	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.1812	0.0000	0.0000	19.4451	11.4278	0.0000	0.0000	189.9856	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.6924	7.7133	0.0000	381.5414	10.0668	128.8650	0.0000	11.2272	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	243.9654	31.1860	0.0000	0.0000	9.2106	0.0000	54.5437	57.0913	18.0897	79.4140	97.3675	47.6751	20.9521	14.0021	244.8120	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00012	296.8335	52.7493	15.3102	0.0000	311.2155	7.2106	18.4973	126.7135	38.8270	312.1077	255.7866	257.3886	140.1175	22.2633	295.0475	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	312.1575	91.4243	0.0000	0.0000	10.0168	0.0000	31.8687	13.8018	208.5078	191.0610	9.3361	350.8963	115.4725	7.2588	385.0376	hisD; histidinol dehydrogenase [EC:1.1.1.23]
