KEGG_L2	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Carbohydrate metabolism	742.3145	75.9525	50.7581	16.8919	302.6294	18.8659	63.5653	1582.1263	218.5772	1014.6053	7397.0348	6256.6322	1044.1347	127.4541	24899.3801
Lipid metabolism	206.2471	27.7194	44.3506	26.2454	136.7166	33.4903	44.8514	613.2599	75.8506	300.5052	2248.2952	2521.7662	365.3116	64.1312	9038.7245
Metabolism of cofactors and vitamins	491.0317	53.1591	33.4526	9.6944	317.8028	15.8413	48.2619	926.9051	147.788	426.4791	4922.23	4278.7311	630.3	115.1593	16531.5416
Energy metabolism	234.1716	20.5724	15.0739	6.1555	121.8286	6.8256	24.2961	408.857	59.6152	203.0597	2174.9001	2534.9905	275.5751	45.6049	7770.3732
Amino acid metabolism	812.5576	89.4419	51.9769	25.3426	336.5285	28.8591	68.8628	1029.8712	231.7424	701.0394	6476.3542	7327.9422	781.8144	137.1176	29442.8332
Nucleotide metabolism	99.7969	10.3119	9.3895	2.6909	79.6137	3.2227	12.2295	291.6739	33.3589	126.4992	1116.3194	923.6131	190.3006	30.1011	3130.3423
Biosynthesis of other secondary metabolites	153.0266	10.0548	4.6136	0.2727	18.9091	0	6.8182	299.8551	36.8135	143.2615	561.2608	996.5923	152.954	11.0568	5634.0836
Metabolism of terpenoids and polyketides	138.5747	13.9761	7.443	2.6562	37.1369	1.7688	9.719	108.0237	38.8449	131.4925	539.5288	1888.6244	111.9088	13.8319	6811.2375
Xenobiotics biodegradation and metabolism	134.6385	18.1607	11.3698	8.1582	66.2219	6.1079	13.6556	232.7	48.8178	170.0816	1468.5593	2599.1678	187.9849	17.4591	7380.7499
Metabolism of other amino acids	210.8664	22.8792	14.335	6.7712	122.3588	10.839	21.4493	561.8651	63.7591	282.1724	2019.1597	2436.0103	341.889	49.2064	9281.953
Glycan biosynthesis and metabolism	308.9972	54.9073	30.6313	6.1325	77.1228	12.6247	41.1377	1224.9655	129.1026	536.0649	3018.3933	2297.3146	622.2886	60.5203	11215.5527
Translation	153.9031	5.9335	6.1741	4.0577	150.1645	3.819	7.2845	428.8638	51.554	272.4109	1049.0286	1513.9073	276.1263	11.7192	4466.4678
Drug resistance: antimicrobial	71.2713	0	2.1852	0	0	0	3.1852	56.1111	0	0	639.4676	906.6441	212.1796	0	3556.9507
Drug resistance: antineoplastic	64.1605	8.3436	5.6057	3.112	47.9057	3.2799	8.5744	112.2301	17.8367	63.4439	329.9709	319.1126	64.6072	18.833	1784.4041
Membrane transport	91.9852	1.9496	1.2868	0	8.686	0.3023	9.6389	420.8472	9.7778	189.3617	2214.3597	1334.6522	251.1791	3.5426	3908.1117
Signal transduction	99.2964	26.6422	87.1089	83.2755	76.6785	86.2781	57.0416	123.6305	96.0925	147.0976	670.5073	718.5082	59.1694	74.5519	2193.1043
Cellular community - prokaryotes	59.4339	3.5352	0.5283	0.0943	23.1266	0	4.1549	162.5724	14.4036	46.5151	1182.0488	914.7274	111.9173	7.7486	3601.6506
Cell motility	32.5912	2.186	13.093	12.4651	169.4913	13.0581	14.6977	149.4032	15.2497	13.976	1871.5858	1414.7638	113.4625	60.0216	2382.8168
Folding, sorting and degradation	199.5686	19.2099	40.3944	28.3012	177.1328	30.7584	36.3652	432.7504	84.0336	333.5749	1652.1056	1737.9167	307.3723	77.3565	5489.0369
Transcription	1.3423	0.2473	0.7653	0.8226	0.6004	0.6613	0.3621	3.3333	2.0484	5.3244	0	0	0	0.5879	85.8889
Replication and repair	360.2515	40.7382	44.6898	2.7057	348.7847	7.5931	37.4006	1266.1101	117.7035	586.7425	3601.8778	3971.2723	811.8489	144.7537	12936.5416
Information processing in viruses	2.7667	0.3333	2.8	3.5	0.6	3.4	0.8	0	5	3.5	0	0	0	0.6667	0
Endocrine system	137.2781	28.6807	67.6418	64.5394	43.0574	72.2225	49.1314	143.8391	89.8538000000001	204.4915	418.1511	677.0853	67.1669	63.1835	2611.4485
Signaling molecules and interaction	3.2389	8.3493	14.7832	14.8919	6.9942	15.6354	9.912	0.9985	14.9254	5.8928	2.1367	0.8462	0.5289	15.5222	5.2745
Immune system	11.3791	14.0667	45.8682	48.6535	46.9699	43.9636	34.1607	15.4647	33.7836	11.6983	62.5894	61.0206	7.8988	48.6757	222.8452
Cell growth and death	112.3022	7.0021	10.5328	10.2556	87.1018	12.1765	8.5813	7.8362	22.4339	134.4041	794.2992	922.4376	149.9985	10.3505	4148.9567
