family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_Rhizobiaceae A	1043	37	4	0	57	3	8	70	298	124	176	7665	1830	3	1989208	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A
f_Microbacteriaceae	2486	262	393	376	250	400	241	389	609	1032	387	10672	859	293	1546521	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae
f_Enterobacteriaceae	514	237	106	15	297	21	1643	4458	1510	693	1214650	20502	50341	218	8768	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae
f_Burkholderiaceae	4206	96	215	223	326	185	251	333	666	248	466	731110	2806	196	176534	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae
f_Propionibacteriaceae	15922	223	11	3	172	31	23	1981	1750	1383	517	21977	1645	12	849414	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae
f_Clostridiaceae	994	17	1361	23	150	20	1987	222714	63	20	433096	17065	92232	1060	34336	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae
f_Mycobacteriaceae	40149	22132	2942	396	11426	829	7861	11409	20786	98027	9032	37994	17707	2085	423439	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae
f_Xanthomonadaceae	5494	42	68	40	54	55	30	1064	134	108	160	71137	4431	42	482122	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae
f_Lactobacillaceae	40	31	91	10	189	112	2855	50762	1398	78708	24598	269930	12044	314	1755	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae
f_Peptostreptococcaceae	7039	24	715	1	65	14	973	54957	74	340	146418	394	10659	371	201634	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae
f_Actinomycetaceae	4142	1044	26	1	268	80	205	425	1931	4746	1065	10360	9910	91	335096	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae
f_Rhodobacteraceae	8613	188	3339	3281	833	3364	1466	584	2890	3664	228	258852	1736	2687	55025	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae
f_Vibrionaceae	13940	599	38114	40422	14518	48011	22894	602	80301	21	1409	938	840	34834	871	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae
f_Unclassified_c_Alphaproteobacteria	997	59	174	130	146	178	126	77	213	164	63	33888	372	130	230616	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified_c_Alphaproteobacteria;f_Unclassified_c_Alphaproteobacteria
f_Unclassified_c_Actinomycetia	10217	2206	568	233	1570	263	1217	1181	2223	5443	686	8149	2746	394	218008	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Unclassified_c_Actinomycetia;f_Unclassified_c_Actinomycetia
f_Micrococcaceae	53370	2253	1712	1582	1628	1715	1337	5740	12668	24138	2626	28513	4089	1636	69738	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae
f_Pseudomonadaceae	852	51	49	58	68	57	35	158	91	83	126	11966	1455	38	191295	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae
f_Caulobacteraceae	698	25	16	12	38	28	31	126	45	85	81	153498	653	19	29577	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae
f_Rhizobiaceae	530	35	101	68	73	71	42	59	133	106	50	29070	402	47	149908	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae
f_Helicobacteraceae	2362	72	1271	251	78503	314	1765	1969	144	58	945	25263	61	24674	14896	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae
f_Fusobacteriaceae	44	20	357	45	655	17	163	87661	10	291	22897	3309	13152	2201	1272	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae
f_Unclassified_p_Proteobacteria	716	70	3266	3173	906	3369	1832	192	1127	106	3883	23313	442	3079	85215	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria;o_Unclassified_p_Proteobacteria;f_Unclassified_p_Proteobacteria
f_Unclassified_o_Actinomycetales	2644	280	28	25	59	14	55	242	727	1481	188	2300	1242	40	87457	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Unclassified_o_Actinomycetales
f_Unclassified_c_Gammaproteobacteria	324	55	384	287	170	346	384	118	473	63	22348	23067	957	341	25451	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Unclassified_c_Gammaproteobacteria;f_Unclassified_c_Gammaproteobacteria
f_Weeksellaceae	251	1	7	6	1	4	4	424	0	1	146	59846	65	2	733	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae
f_Aerococcaceae	19	0	7	0	12	4	34	144	20	77	145	217	95	2	58782	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Aerococcaceae
f_Catellicoccaceae	3	2	4479	41	2223	440	527	1184	1	19	338	72	47141	2182	88	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Catellicoccaceae
f_Dermabacteraceae	9830	1659	79	1	219	50	516	409	9591	3319	276	2462	3330	63	23592	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae
f_Dermatophilaceae	20201	337	71	62	93	75	52	2292	157	255	321	1090	506	429	25063	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae
f_Unclassified_c_Clostridia	458	16	112	87	31	109	173	8488	64	62	17944	593	2770	117	17118	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Unclassified_c_Clostridia;f_Unclassified_c_Clostridia
f_Sphingomonadaceae	1197	244	72	77	141	83	111	130	121	179	50	31584	53	66	4871	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae
