family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_Vibrionaceae	160129.9327	37635.22	1192362.9382	1442157.118	274800.6814	1483225.8347	887509.1099	4351.7576	1279119.199	238.2796	1768.7665	1001.1829	8927.8994	882207.6204	286.9016	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae
f_Mycobacteriaceae	276469.0157	1258773.8525	129079.079	19051.163	292458.6812	30924.5798	429461.2667	32229.6993	189523.4716	495299.9171	5578.3676	21132.0966	70031.7522	66158.8674	58411.0804	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae
f_Clostridiaceae	5803.1592	543.9578	19018.2767	459.4956	1228.1599	324.3429	33686.8683	507645.3089	672.1445	128.8762	232582.9867	9675.3444	332496.6198	12049.3049	5372.6801	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae
f_Enterobacteriaceae	3462.923	12290.2927	2073.7316	764.2885	3512.1296	948.8807	27646.762	17175.858	10934.9133	3953.775	683677.7904	11608.5034	199908.8222	2946.417	1521.9138	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae
f_Micrococcaceae	261425.4421	73605.4949	68735.9596	77607.1625	26656.6901	73440.6268	61561.7184	14264.5789	109553.7953	114949.4217	1696.39	16233.7944	16703.1463	53928.0212	11626.0457	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae
f_Helicobacteraceae	12063.6249	1862.6497	15632.2272	3652.5406	592333.0089	3932.019	27656.9737	4418.6601	951.116	215.2091	488.2441	13544.4107	188.012	248456.634	2025.4286	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae
f_Lactobacillaceae	428.6285	1261.9981	896.5327	431.0838	1489.1611	1374.2336	46183.4258	119210.3769	9441.1502	369990.0917	13752.8086	169103.2148	46687.2325	3180.5901	244.1419	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae
f_Rhodobacteraceae	48229.8242	7000.3167	99491.4847	113398.9959	14197.4319	100616.6736	56306.0374	1419.3138	43493.1447	19553.1379	160.5822	146802.4656	7372.9085	66638.782	7708.313	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae
f_Burkholderiaceae	21578.3527	5263.6254	6892.6207	8255.2637	3765.3293	6553.3282	9449.5219	844.3942	6171.9856	1526.7071	239.9376	397653.0759	12453.8925	5770.3688	27223.2804	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae
f_Unclassified_c_Actinomycetia	58754.6172	173501.2188	25635.2176	9318.3099	42955.1324	10823.0569	69814.8496	3202.747	25886.6015	34430.7332	466.87	3985.6849	10493.0178	13399.709	23453.3486	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Unclassified_c_Actinomycetia;f_Unclassified_c_Actinomycetia
f_Chitinophagaceae	22724.2605	190874.3743	36585.2882	24603.7819	47189.7666	20824.4702	74604.2051	1106.1563	21606.9511	21275.3009	1273.4335	315.0389	1336.7454	22377.2932	152.2667	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Chitinophagaceae
f_Streptomycetaceae	23906.3867	178722.7216	29258.6833	10405.0312	53789.0478	12809.0126	78232.0267	1498.6679	18327.0071	18066.4899	220.796	465.998	1330.9366	16268.5584	561.9234	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptomycetales;f_Streptomycetaceae
f_Unclassified_p_Proteobacteria	3677.4447	4321.3656	77012.6046	84522.9544	14378.2277	81585.745	54954.6022	597.3402	13306.3233	744.2519	1121.0882	9831.2078	1576.1023	59117.9136	9381.9365	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria;o_Unclassified_p_Proteobacteria;f_Unclassified_p_Proteobacteria
f_Peptostreptococcaceae	36716.551	1014.7003	11713.631	10.1872	837.2707	731.0146	20529.38	141030.3137	540.1048	1808.9331	96283.9317	260.6623	46091.4787	5030.2866	31729.2251	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae
f_Alcanivoracaceae	1418.0037	132.1728	66389.1106	76471.678	8878.9095	72455.4281	47682.4534	1.3805	24705.0609	0	21.1398	32.5192	235.1513	44159.9285	8.0196	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Alcanivoracaceae
f_Microbacteriaceae	15842.4318	13932.0648	13401.177	14827.9432	5231.981	13402.7822	11050.2944	1123.766	8353.5537	6600.2523	266.5838	6288.6507	3742.7881	8354.0753	210119.1848	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae
f_Rhizobiaceae A	5463.0222	1241.7393	44.4872	0	486.6106	28.8716	188.4524	175.51	2202.9378	660.425	111.7942	4457.0505	7151.2099	39.8837	302283.8776	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A
f_Paenibacillaceae	15613.0453	133318.0161	15616.3684	3453.2166	36265.4942	4016.7545	55896.0722	1002.3316	9839.9841	12148.709	398.3188	374.4755	1115.9171	9658.3204	146.009	d_Bacteria;p_Firmicutes;c_Bacilli;o_Paenibacillales;f_Paenibacillaceae
f_Fusobacteriaceae	289.5144	374.5777	4057.8634	649.7361	4820.5364	211.9711	2431.891	186806.4851	63.3332	995.158	10700.8903	1654.0066	45876.317	20705.3386	205.7258	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae
f_Catellicoccaceae	17.2515	237.8194	53767.6641	598.4069	16630.8285	5433.8736	7650.5987	2542.2094	2.5241	96.6061	154.4505	39.5237	163965.6755	21506.057	11.3834	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Catellicoccaceae
