order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_Actinomycetales	95097	6096	2697	2429	2662	2697	2579	9814	28203	35363	5261	55974	20425	2873	2105744	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales
o_Rhizobiales A	1043	37	4	0	57	3	8	70	298	124	176	7665	1830	3	1989208	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A
o_Enterobacterales	14668	960	39405	41628	15297	49224	26860	5583	83211	823	1233158	26592	51718	36184	10758	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales
o_Burkholderiales	4309	103	341	347	383	280	315	355	814	260	619	753071	2872	291	182705	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales
o_Propionibacteriales	16519	273	72	67	204	93	50	2039	1797	1447	536	31513	1707	67	861629	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales
o_Clostridiales	1004	17	1365	23	150	20	1994	224563	64	20	436490	17209	92953	1068	34565	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales
o_Mycobacteriales	41047	22295	3108	519	11507	966	7956	11541	21052	98461	9080	38764	17834	2243	433875	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales
o_Lactobacillales	312	584	5082	397	2653	892	3603	53384	1901	80472	25898	273209	60843	2866	91747	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales
o_Xanthomonadales	5623	82	121	94	68	88	66	1089	155	146	166	73142	4469	99	488289	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales
o_Peptostreptococcales	7074	48	737	18	79	35	994	55355	92	360	146728	421	10724	395	203325	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales
o_Rhodobacterales	8613	188	3339	3281	833	3364	1466	584	2890	3664	228	258852	1736	2687	55025	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales
o_Unclassified_c_Alphaproteobacteria	997	59	174	130	146	178	126	77	213	164	63	33888	372	130	230616	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified_c_Alphaproteobacteria
o_Unclassified_c_Actinomycetia	10217	2206	568	233	1570	263	1217	1181	2223	5443	686	8149	2746	394	218008	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Unclassified_c_Actinomycetia
o_Rhizobiales	687	68	1679	1662	430	1751	782	81	979	169	165	37997	459	1390	187727	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales
o_Pseudomonadales	1173	109	2678	2790	751	3131	1661	449	2150	175	712	13749	1800	2280	197696	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales
o_Caulobacterales	720	26	94	84	79	117	59	329	158	85	84	154649	663	89	29803	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales
o_Campylobacterales	2545	88	1414	296	86486	342	1921	2206	168	60	1170	27708	75	28210	16675	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales
o_Fusobacteriales	44	20	381	45	660	17	164	88387	12	430	23330	3720	13275	2215	1380	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales
o_Unclassified_p_Proteobacteria	716	70	3266	3173	906	3369	1832	192	1127	106	3883	23313	442	3079	85215	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria;o_Unclassified_p_Proteobacteria
o_Unclassified_c_Gammaproteobacteria	324	55	384	287	170	346	384	118	473	63	22348	23067	957	341	25451	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Unclassified_c_Gammaproteobacteria
o_Flavobacteriales	311	45	760	676	189	852	370	527	177	18	352	62275	89	480	1219	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales
o_Unclassified_c_Clostridia	458	16	112	87	31	109	173	8488	64	62	17944	593	2770	117	17118	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Unclassified_c_Clostridia
o_Sphingomonadales	1201	244	79	84	145	93	112	131	136	179	50	31664	55	69	4872	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales
o_Lachnospirales	462	568	2106	2328	913	2682	1389	840	1613	276	2170	129	295	2555	2973	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales
o_Chitinophagales	1841	2653	1376	965	2157	968	1806	390	1495	1832	1419	336	202	1085	1104	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales
o_Unclassified_p_Actinobacteriota	487	65	29	34	35	22	29	60	197	165	42	548	139	15	17009	d_Bacteria;p_Actinobacteriota;c_Unclassified_p_Actinobacteriota;o_Unclassified_p_Actinobacteriota
o_Unclassified_c_Bacilli	60	6	180	64	84	77	77	840	115	912	1684	5199	1934	134	6677	d_Bacteria;p_Firmicutes;c_Bacilli;o_Unclassified_c_Bacilli
