order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_Enterobacterales	118312.4052	23830.3359	509898.8796	591155.9502	175616.3363	604383.7877	390249.2368	20677.2048	619090.0624	4442.3409	638273.3062	13739.6042	187617.6892	454004.3162	1909.8768	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales
o_Mycobacteriales	201836.6966	525839.6057	56281.5741	9376.1207	180369.7409	14064.9239	175535.1736	29604.6898	91333.8446	411507.1208	5153.2111	19034.5397	62884.032	35226.8807	55738.7428	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales
o_Actinomycetales	363897.5715	80779.3262	41510.9485	44874.9727	24786.4589	41792.3944	38646.8953	23385.8515	112763.9836	143377.7828	3190.7378	27769.162	74069.8173	44795.7174	266600.0597	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales
o_Clostridiales	4191.4762	226.2275	7946.3221	184.4761	753.7568	129.6191	13663.5773	462776.454	320.0337	106.5968	214771.6914	8540.8997	297637.8304	6054.0973	5042.9572	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales
o_Lactobacillales	1462.4643	8618.9124	26194.0471	2937.7496	12434.1714	4592.3083	23226.8551	112656.0206	6592.0124	312022.4266	13526.246	149935.2369	193812.7933	14444.9669	13486.0035	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales
o_Campylobacterales	9090.0429	956.3013	7292.3705	1846.5539	390595.7401	1676.0006	12096.3589	4416.6905	588.4053	192.0813	551.2188	12742.1935	210.0373	138558.8148	2061.196	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales
o_Burkholderiales	15815.8836	2441.4397	4479.9702	4978.393	3004.0933	3772.283	4691.2809	833.8141	3654.4744	1394.9727	329.9901	358260.5261	11635.6128	4029.4229	26318.3332	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales
o_Rhodobacterales	34477.9968	2911.3728	41529.5894	45526.8984	8713.3702	40210.0596	22809.4009	1288.9516	20633.0194	16172.9005	147.8174	129186.2998	6577.0567	33389.3407	7175.1679	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales
o_Peptostreptococcales	26538.7328	1383.6714	5313.0559	365.2928	754.8321	783.1159	8793.0002	128936.6589	452.7474	1791.1066	88737.3384	250.1877	41335.4576	2929.8378	29883.4743	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales
o_Rhizobiales A	3905.3441	516.4289	18.5698	0	298.6468	11.5381	76.3415	159.3896	1045.0672	546.2544	102.9075	3922.2084	6379.2889	19.9837	281376.4284	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A
o_Unclassified_c_Actinomycetia	42001.8429	72157.6972	10700.6149	3741.0715	26362.7938	4325.2847	28281.7788	2908.5787	12280.5273	28478.5402	429.7581	3507.4062	9360.373	6713.92	21831.199	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Unclassified_c_Actinomycetia
o_Fusobacteriales	206.9648	155.7837	1897.7948	260.853	2974.0454	84.7113	994.4072	170812.988	60.4742	3353.4942	9971.2687	2337.8993	41889.738	10431.9327	211.6077	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales
o_Chitinophagales	16334.0252	79510.3892	16322.0002	11238.7693	29189.0249	9254.2573	30930.884	1158.1079	10488.8023	17608.3819	1198.014	323.6554	1355.9171	12349.3802	164.2318	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales
o_Pseudomonadales	5540.6125	2083.9585	32829.805	37735.281	7830.4496	36051.9771	24160.1212	1485.5109	14426.6095	925.9401	486.0335	9153.1057	7105.6971	26313.6193	28597.7784	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales
o_Propionibacteriales	58484.3616	4123.3618	1015.233	1525.1523	1643.673	1148.3224	836.8292	4472.6189	9604.5592	8090.578	358.9659	16210.4328	7439.3964	1055.5681	108907.5605	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales
o_Streptomycetales	17124.5841	74360.2725	12213.1166	4177.3633	33016.4549	5118.9444	31691.5511	1361.0171	8694.278	14943.2559	203.2447	415.2796	1187.2717	8151.3561	538.8955	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptomycetales
o_Unclassified_p_Proteobacteria	2628.8905	1797.2196	32146.4883	33933.8803	8824.3297	32604.6126	22261.9387	542.4752	6312.4805	615.5898	1031.9718	8651.4716	1405.9735	29621.012	8733.0353	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria;o_Unclassified_p_Proteobacteria
o_Rhizobiales	3009.3232	1569.3672	20653.5263	22408.653	4569.5958	20540.8902	12206.611	256.6756	7305.0224	816.7593	191.5905	21943.6869	1819.3005	16196.6185	26926.1	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales
o_Xanthomonadales	21152.2689	1263.3195	1247.7995	1091.4091	377.846	607.9354	1008.605	2499.9379	683.1246	703.8514	101.1076	36880.1478	16769.0172	977.2631	71641.2413	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales
o_Paenibacillales	11210.5044	55621.2394	7082.6997	2072.2568	22702.8822	2132.703	23258.9496	910.2687	4770.0408	10055.7007	422.1953	408.5516	995.462	5634.5369	144.2192	d_Bacteria;p_Firmicutes;c_Bacilli;o_Paenibacillales
o_Bacteroidales	1272.7238	2483.7131	26532.5506	30413.8684	6168.9966	27978.471	16798.3764	489.7457	6607.8748	740.4866	486.8944	449.1653	653.2414	23205.3579	215.8208	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales
o_Caulobacterales	2975.18	894.463	1614.7359	1661.0533	871.8011	1941.9882	1215.123	649.1779	1617.4762	588.2018	49.6475	90091.3669	2584.8674	1673.7591	4693.6751	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales
o_Lachnospirales	2216.2734	9663.2925	14835.5725	17682.1004	6159.3467	18312.0268	12886.8036	1675.3565	6190.3188	1293.2759	1804.389	77.8688	1219.389	16256.0624	453.0556	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales
o_Flavobacteriales	1420.3828	1332.9804	12984.0871	12445.7258	2711.396	13466.6505	7411.9064	1319.2418	1736.9608	175.8366	217.5461	32396.5431	363.7247	8141.0708	206.2677	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales
o_UBA1444	380.624	17.6253	9345.8077	13143.9249	3568.3754	12013.1269	6590.5094	9.2148	4994.77	0	18.0039	13.685	88.7977	9486.8013	16.1418	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_UBA1444
o_Unclassified_c_Alphaproteobacteria	3146.1895	1519.6576	3344.7532	1998.4882	1985.5731	2758.6181	2616.9454	115.2586	1606.4161	780.76	29.7707	14004.2288	865.2026	2064.3853	21340.3184	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified_c_Alphaproteobacteria
o_Sphingomonadales	5550.5555	5434.0332	1163.104	1468.3091	1705.4306	1468.8173	1886.9952	348.9996	1209.4021	1428.8454	31.9672	19820.3054	261.2481	1211.8176	812.6777	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales
o_Unclassified_c_Gammaproteobacteria	971.1856	1508.7307	3502.6955	3299.2703	1483.5187	3884.9086	3370.1308	202.5415	2199.8309	456.5395	5413.1808	8550.0865	1974.6294	3700.1679	2706.3359	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Unclassified_c_Gammaproteobacteria
o_Unclassified_c_Clostridia	2006.2021	283.9123	671.3087	1540.5369	282.7069	1747.795	1604.9395	11946.9488	452.8663	320.2626	5806.4327	247.4984	6092.0806	1113.5385	2056.1961	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Unclassified_c_Clostridia
