species	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
s_Pseudochrobactrum asaccharolyticum	459	20	2	0	19	2	1	23	109	43	69	2428	646	1	835520	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Pseudochrobactrum;s_Pseudochrobactrum asaccharolyticum
s_Arachnia antarctica	11448	115	8	0	31	2	9	1220	63	170	283	17049	653	2	664137	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae;g_Arachnia;s_Arachnia antarctica
s_Leucobacter sp001482305	225	28	7	0	10	0	9	64	31	83	68	3162	175	1	676734	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter;s_Leucobacter sp001482305
s_Clostridium P perfringens	462	14	1075	8	130	16	1682	179467	40	7	374607	13679	79910	841	17101	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium P;s_Clostridium P perfringens
s_Unclassified_g_Pseudochrobactrum	274	4	1	0	15	0	5	20	105	25	57	2415	583	2	643137	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Pseudochrobactrum;s_Unclassified_g_Pseudochrobactrum
s_Escherichia ruysiae	59	25	4	2	42	2	6	726	341	124	380638	3435	8906	1	949	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia ruysiae
s_Unclassified_g_Leucobacter	359	27	4	0	19	5	9	74	42	190	105	3026	170	3	390234	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter;s_Unclassified_g_Leucobacter
s_Unclassified_g_Escherichia	99	10	11	2	35	0	4	655	293	121	294754	5118	12489	2	1616	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Unclassified_g_Escherichia
s_Unclassified_f_Burkholderiaceae	1338	15	43	43	55	32	69	154	243	76	119	270506	541	42	16810	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Unclassified_f_Burkholderiaceae;s_Unclassified_f_Burkholderiaceae
s_Photobacterium chitinilyticum	13697	571	35704	37684	13849	45174	21449	33	78581	19	603	602	269	32404	781	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Photobacterium;s_Photobacterium chitinilyticum
s_Unclassified_c_Alphaproteobacteria	997	59	174	130	146	178	126	77	213	164	63	33888	372	130	230616	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified_c_Alphaproteobacteria;f_Unclassified_c_Alphaproteobacteria;g_Unclassified_c_Alphaproteobacteria;s_Unclassified_c_Alphaproteobacteria
s_Unclassified_c_Actinomycetia	10217	2206	568	233	1570	263	1217	1181	2223	5443	686	8149	2746	394	218008	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Unclassified_c_Actinomycetia;f_Unclassified_c_Actinomycetia;g_Unclassified_c_Actinomycetia;s_Unclassified_c_Actinomycetia
s_Escherichia coli	63	10	8	1	33	0	1	534	210	98	210841	4892	11888	2	783	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli
s_Unclassified_g_Ligilactobacillus	16	6	12	0	78	64	1439	25303	750	41669	12243	124682	6069	138	186	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus;s_Unclassified_g_Ligilactobacillus
s_Unclassified_f_Enterobacteriaceae	79	6	5	5	39	10	153	1576	412	91	188375	3599	9266	36	2839	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Unclassified_f_Enterobacteriaceae;s_Unclassified_f_Enterobacteriaceae
s_Corynebacterium falsenii	14257	4346	188	29	1046	109	459	5379	10010	34108	5347	5843	8242	294	90523	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium falsenii
s_Leucobacter komagatae A	91	7	1	0	1	0	1	10	14	43	69	1102	74	0	177055	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter;s_Leucobacter komagatae A
s_Unclassified_g_Corynebacterium	8014	2965	81	26	405	79	162	2345	4566	21821	1414	9209	4258	108	120724	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Unclassified_g_Corynebacterium
s_Corynebacterium sp008930665	4884	1589	6	0	20	20	76	403	429	4469	815	15785	2297	28	134619	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium sp008930665
