species	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
s_Photobacterium chitinilyticum	157727.6363	35840.2106	1106173.422	1325652.2729	260927.1356	1377020.1224	827475.0718	178.5161	1253248.4033	208.2111	794.3395	780.0105	2327.4265	811133.2551	264.8762	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Photobacterium;s_Photobacterium chitinilyticum
s_Nocardia nova B	109261.3953	971889.3716	120124.8872	14702.3583	277789.8053	23227.5148	413959.2794	6320.5469	72309.1604	81990.8219	1034.6182	1196.9816	5438.4518	59632.4971	370.8232	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Nocardia;s_Nocardia nova B
s_Clostridium P perfringens	2269.0747	310.7226	14063.8822	92.6571	1034.2244	204.1729	28483.906	416094.7334	390.0639	35.2833	208186.4629	7604.717	298595.909	9406.0679	2537.3515	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium P;s_Clostridium P perfringens
s_Unclassified_c_Actinomycetia	58754.6172	173501.2188	25635.2176	9318.3099	42955.1324	10823.0569	69814.8496	3202.747	25886.6015	34430.7332	466.87	3985.6849	10493.0178	13399.709	23453.3486	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Unclassified_c_Actinomycetia;f_Unclassified_c_Actinomycetia;g_Unclassified_c_Actinomycetia;s_Unclassified_c_Actinomycetia
s_Corynebacterium falsenii	72411.1132	111721.4702	2580.3962	399.9836	8125.8461	1202.1199	6884.8904	11888.8834	64200.4315	150760.6963	2873.7125	3109.5211	29048.0633	2933.4791	12587.9632	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium falsenii
s_Unclassified_g_Helicobacter G	6285.2179	871.8037	8285.4682	1769.1699	302811.2153	1834.4214	14225.7642	2187.2876	428.3311	89.8536	270.5139	6335.9013	73.6021	122946.3531	1018.4986	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter G;s_Unclassified_g_Helicobacter G
s_Puniceibacterium profundi	1712.5262	261.8824	92459.6582	108673.7095	10766.4602	94959.7174	51785.2562	32.1913	40754.2115	7.6245	29.2799	16.6409	127.081	62433.265	11.4555	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Puniceibacterium;s_Puniceibacterium profundi
s_Chitinophaga agrisoli	22326.6666	188199.4465	32492.0864	21395.2299	46410.6075	17120.2346	71314.4805	1061.7766	20292.8212	20816.0145	144.3319	213.6324	810.4009	20593.8066	61.8907	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Chitinophagaceae;g_Chitinophaga;s_Chitinophaga agrisoli
s_Unclassified_p_Proteobacteria	3677.4447	4321.3656	77012.6046	84522.9544	14378.2277	81585.745	54954.6022	597.3402	13306.3233	744.2519	1121.0882	9831.2078	1576.1023	59117.9136	9381.9365	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria;o_Unclassified_p_Proteobacteria;f_Unclassified_p_Proteobacteria;g_Unclassified_p_Proteobacteria;s_Unclassified_p_Proteobacteria
s_Unclassified_g_Ligilactobacillus	219.0707	127.9213	114.2319	0	639.2118	763.9305	22870.4581	59716.7502	4961.9764	203292.2416	6801.3603	70928.498	24656.317	1460.945	27.8427	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus;s_Unclassified_g_Ligilactobacillus
