KEGG_L2	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Carbohydrate metabolism	2821.3243	1980.2481	1055.3417	836.9025	2282.4373	738.5198	1238.8488	3040.0803	1424.948	3669.5624	3347.9199	2711.3694	3136.9238	1497.0408	2645.3817
Lipid metabolism	870.2581	952.202	1084.8998	1095.6898	1275.6334	1043.8638	1249.451	1155.451	651.0769	1099.3729	997.5931	1189.0654	1110.9092	1118.2631	996.6164
Metabolism of cofactors and vitamins	2292.7786	1449.5491	831.2648	412.4426	2651.2009	587.2933	1067.8309	2044.0556	1104.6525	1844.8744	2712.3018	2338.5762	2276.296	1443.5572	2189.0551
Energy metabolism	969.2491	585.4734	400.0337	242.3712	961.1374	297.5357	518.0182	824.6406	485.5956	863.3002	1051.6705	1156.1753	893.9052	573.6982	906.5184
Amino acid metabolism	3122.5169	2282.9013	1389.9356	1183.2083	2318.3129	1048.9649	1584.2213	1957.6003	1480.7625	2538.7733	2889.5549	3157.2516	2350.5102	1706.8297	3209.3582
Nucleotide metabolism	472.7573	335.2223	191.7225	108.0103	604.4037	96.9551	255.9999	579.4339	275.4379	567.4541	571.9341	469.6025	644.7186	330.3056	423.2526
Biosynthesis of other secondary metabolites	650.4313	249.2829	61.6871	3.9919	130.1094	0	115.4119	633.8154	241.2053	527.51	304.615	468.2351	512.3942	94.6058	684.1571
Metabolism of terpenoids and polyketides	622.2688	456.8509	126.5773	181.6121	323.3059	62.4239	240.3719	265.2069	248.9603	496.4693	288.3187	851.4929	393.7776	145.7492	819.431
Xenobiotics biodegradation and metabolism	647.9584	624.7899	278.1283	397.0288	582.0044	217.7114	349.0025	586.1641	374.8373	820.3204	764.5954	1321.8525	709.5891	237.2609	1017.3285
Metabolism of other amino acids	735.0741	636.6408	304.1015	336.1908	875.6962	360.9818	420.2733	975.7253	388.9099	876.2904	910.2452	1009.5413	955.0251	596.9952	961.1482
Glycan biosynthesis and metabolism	933.6048	1037.8349	391.7011	217.6615	466.0126	416.3272	626.7497	1326.6087	698.0223	1457.4667	1219.6835	946.1784	1382.3301	609.2279	1022.7212
Translation	929.6316	393.3062	217.3375	180.8584	1021.9123	161.9714	326.575	842.2708	517.7547	1487.0891	449.1842	864.8456	869.4886	305.8182	589.1369
Drug resistance: antimicrobial	286.8982	0	20.1311	0	0	0	39.4056	82.5662	0	0	286.6392	372.8732	619.7296	0	406.1136
Drug resistance: antineoplastic	240.0787	262.2889	219.6011	143.6462	304.1288	134.7057	359.1396	187.2974	133.3842	223.6999	151.5002	149.316	210.5672	226.8253	228.4652
Membrane transport	422.4413	50.4586	19.7831	0	71.5434	7.3154	131.7071	898.4774	66.271	728.7329	1074.0858	643.6926	822.9962	38.731	486.6015
Signal transduction	512.8304	1392.9176	2123.8533	2163.6718	938.5766	2037.3967	1945.3085	252.3489	938.5885	643.8257	337.7174	342.4509	191.1186	1423.8793	271.4618
Cellular community - prokaryotes	262.6379	69.0397	6.3201	1.4266	156.5759	0	67.0533	315.092	102.4395	184.0517	625.4245	480.9957	362.7226	73.4867	437.9715
Cell motility	160.8852	171.7969	597.4867	653.1651	1266.1695	605.8346	533.9738	307.9855	188.3568	65.5755	915.2688	701.5935	359.8059	923.4789	280.9722
Folding, sorting and degradation	877.5724	487.9495	736.6487	693.7706	1395.9996	651.3961	724.6752	938.9098	635.4867	1265.6848	867.2273	870.7833	1017.0936	917.9488	673.3196
Transcription	4.0984	12.4459	35.6985	40.6019	10.0847	29.8793	19.4783	3.581	28.8617	16.6306	0	0	0	25.0917	6.6857
Replication and repair	1286.4632	818.4654	405.0861	49.4826	1625.7888	105.7711	449.7705	1747.8022	668.8468	1771.6051	1348.4605	1445.6474	1783.9133	927.0246	1225.9155
Information processing in viruses	21.6798	19.7127	15.324	20.5278	4.817	16.6263	6.5576	0	27.724	25.3478	0	0	0	3.2816	0
Endocrine system	490.6467	1344.9791	2096.7058	2347.1689	613.1829	2294.8192	1913.7687	250.7261	1034.1704	758.9385	180.0839	265.2277	198.5369	1556.1192	245.719
Signaling molecules and interaction	41.5054	386.0056	376.2379	428.3743	127.1136	370.8595	327.345	5.2313	164.8669	41.1369	2.4238	0.9631	3.4104	337.7976	1.2306
Immune system	90.5663	665.5047	1381.9099	1704.1579	438.3246	1340.9253	1636.1101	40.2716	473.4825	85.3196	27.0467	34.9941	33.6905	1050.2404	26.6977
Cell growth and death	449.2683	335.5061	351.9181	436.7204	673.2977	421.2176	391.5181	32.8898	207.9982	545.8522	327.1799	423.7776	446.0659	252.6066	473.8931
Transport and catabolism	156.5119	333.3928	245.8213	346.5362	181.5754	283.8947	406.1744	77.9392	163.1093	114.5025	71.6989	110.2457	96.3879	264.0741	116.6717
Aging	287.7791	173.3438	156.1426	100.1988	402.0302	90.2215	123.6693	0	167.4266	260.3928	156.469	159.8489	115.6323	223.693	211.8164
Circulatory system	119.9347	591.7327	1962.0279	2335.81	535.2491	2259.9354	1583.3663	0.6493	577.9973	80.5532	1.299	0	0	1554.5073	0.9872
Development and regeneration	11.7147	50.7127	239.9133	358.5353	63.149	208.2916	216.6333	22.0902	76.3038	7.2365	16.0545	10.2298	1.301	214.4071	6.9889
Cellular community - eukaryotes	62.2679	400.3146	1381.6225	1486.3029	361.2684	1378.1255	1029.5118	3.8563	432.658	49.6747	2.5571	1.1289	6.563	1032.0787	0.5421
Environmental adaptation	79.3901	122.619	233.396	209.2008	82.9682	244.9945	214.9377	0.0692	178.0969	22.8493	0	46.8716	0	172.3505	0.013
Nervous system	121.3435	423.2033	684.5967	671.9243	271.9068	616.6315	700.5185	105.4661	345.4047	87.0699	61.4901	39.9293	20.4648	532.6914	68.7554
Sensory system	73.6371	434.1452	464.8937	414.8593	163.6211	237.0106	345.6386	1.69	179.8829	34.5689	1.4798	1.0703	3.0698	198.4987	1.0644
Endocrine and metabolic disease	281.1991	750.1684	346.6496	374.2883	294.0564	334.2388	443.2918	86.654	232.0417	303.3283	110.2883	56.4591	137.7251	310.4221	94.2205
Excretory system	168.6177	239.5915	495.6666	680.259	108.9256	739.3085	361.0616	154.1521	202.0477	126.7983	139.1771	66.207	0	365.8033	96.8741
Digestive system	330.0094	2205.1012	1369.3569	1571.0769	667.7959	1495.1316	1595.7102	64.7528	613.4272	332.449	123.1701	200.2399	13.2254	951.4028	37.7129
Neurodegenerative disease	107.3329	314.915	564.4335	438.6742	356.925	543.031	605.6653	23.9329	239.9974	85.1113	4.7729	11.0826	13.2392	349.4308	41.3954
Substance dependence	80.155	278.5967	222.6275	160.9651	80.4113	153.3225	257.31	0.5685	122.0593	27.8567	0.9852	13.1135	0.2345	163.5323	11.9468
Infectious disease: bacterial	196.5514	415.2514	1258.5963	1313.2944	581.5962	1108.0296	1190.3061	19.4377	433.2525	235.9725	86.5986	118.6899	95.8127	936.6488	74.7499
Infectious disease: parasitic	15.3712	544.705	261.0055	262.1118	106.1532	199.7192	392.5773	0	97.3332	30.9528	0	0.3368	0	155.2589	0
Infectious disease: viral	39.229	189.4523	750.618	821.9639	190.9041	691.158	900.5068	16.8353	232.3691	37.8206	7.7349	11.1279	5.5046	487.6615	15.9542
Cancer: overview	242.3197	440.3883	585.472	619.4707	287.4139	511.4119	610.0928	288.3178	245.2187	538.3344	178.4316	199.621	19.1239	396.4834	189.6152
Cancer: specific types	72.9516	121.5611	603.6309	704.863	244.3789	575.5644	715.1194	0	188.7175	56.459	23.2551	17.3241	0	478.4823	33.4185
Immune disease	100.0511	211.924	1370.4834	1826.1893	460.0562	1694.497	1071.4695	0	624.4338	89.4702	0.1134	0	0	1089.1564	0
Cardiovascular disease	257.1954	921.4956	1971.5984	2270.0132	668.1821	2336.7228	1733.6201	2.1693	759.4642	230.9991	1.1582	74.1223	2.4991	1579.5858	50.3538
