KEGG_L3	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
ko00010	290.5031	224.7545	184.3094	164.001	276.2951	125.3192	154.7659	327.3193	162.1536	517.4904	270.726	277.6733	353.398	194.3119	284.4528	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis
ko00020	335.5544	281.7659	87.459	47.5007	380.9029	95.4772	125.9407	87.942	175.943	249.9283	181.9174	245	158.6339	175.1207	282.4898	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle)
ko00030	186.8615	124.9191	86.5516	52.3911	159.8054	76.1669	126.8988	276.3229	131.6609	439.8519	236.4164	253.0679	267.7108	151.4338	213.4901	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway
ko00040	71.7682	38.0229	17.7678	25.0363	89.6525	18.9095	36.5721	104.0468	33.5212	33.9764	203.292	50.3777	126.7246	32.6691	76.4825	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions
ko00051	132.3962	107.6455	68.1347	38.0907	150.4149	33.4697	75.2998	294.1887	77.1242	288.9329	266.3579	138.7519	260.2728	102.8858	127.8688	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism
ko00052	162.1233	169.0357	44.7237	0	93.5055	18.4181	79.859	350.0164	87.5235	344.025	343.7587	145.0884	334.9429	69.124	140.5273	Metabolism; Carbohydrate metabolism; Galactose metabolism
ko00053	65.0995	65.4497	63.0891	81.9286	0	0	50.5919	130.4183	43.5517	31.4519	164.837	65.206	108.4696	52.5159	63.5098	Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism
ko00061	262.3935	101.9637	110.884	114.8017	527.2496	120.999	171.3114	430.736	143.05	326.388	258.7973	486.3361	331.1999	186.8489	324.2904	Metabolism; Lipid metabolism; Fatty acid biosynthesis
ko00062	19.2383	28.483	88.3992	153.4666	17.0326	133.1316	63.4484	0	64.8921	0	0	0	0	142.4928	0	Metabolism; Lipid metabolism; Fatty acid elongation
ko00071	169.0532	187.0485	174.4542	273.8842	46.1202	149.643	108.3961	100.1064	96.3681	159.7052	148.2205	213.7344	130.1872	90.216	226.8515	Metabolism; Lipid metabolism; Fatty acid degradation
ko00100	11.2698	68.3892	50.0423	23.9876	34.0206	14.0319	83.7807	0.7495	22.121	7.5161	0.3166	0	0.4376	15.4479	0.1565	Metabolism; Lipid metabolism; Steroid biosynthesis
ko00120	40.3019	82.9352	91.1502	47.8833	158.3669	85.4903	222.9207	0	20.7117	109.9928	8.4598	0	0	117.0655	0	Metabolism; Lipid metabolism; Primary bile acid biosynthesis
ko00121	32.7214	6.0453	71.5973	2.2052	190.2293	5.4149	71.3705	160.3368	4.455	103.8988	135.9446	197.2867	217.1712	86.1739	91.5148	Metabolism; Lipid metabolism; Secondary bile acid biosynthesis
ko00130	142.6178	77.9587	53.2076	24.131	263.2705	16.956	133.6028	18.7115	76.1902	112.975	217.6922	108.5054	79.5681	174.171	126.3182	Metabolism; Metabolism of cofactors and vitamins; Ubiquinone and other terpenoid-quinone biosynthesis
ko00140	14.1353	83.6747	26.4386	32.5662	25.5682	29.2367	64.871	0	22.2023	26.1014	0.0885	0.3924	0.6981	47.9731	3.8499	Metabolism; Lipid metabolism; Steroid hormone biosynthesis
ko00190	151.1375	100.6541	51.4113	23.6873	164.2815	37.0178	80.8881	82.0801	75.3857	156.3312	80.9009	159.959	116.0545	80.8944	132.903	Metabolism; Energy metabolism; Oxidative phosphorylation
ko00195	0	124.3178	0	0	0	0	0	0	65.6137	0	0	0	0	0	0	Metabolism; Energy metabolism; Photosynthesis
ko00220	207.7877	111.4554	21.7478	44.175	266.3178	15.7053	90.4321	141.3268	108.3733	147.0673	218.5818	198.9701	140.8651	139.6029	192.4609	Metabolism; Amino acid metabolism; Arginine biosynthesis
ko00230	223.1923	154.9948	83.2994	38.8308	243.3709	45.0238	114.9252	240.0886	123.3608	275.0041	235.2988	199.8478	233.6026	133.56	177.1983	Metabolism; Nucleotide metabolism; Purine metabolism
ko00240	249.565	180.2275	108.4231	69.1795	361.0328	51.9313	141.0747	339.3453	152.0771	292.45	336.6353	269.7547	411.116	196.7456	246.0543	Metabolism; Nucleotide metabolism; Pyrimidine metabolism
ko00250	333.1457	258.8395	151.0814	95.6142	467.1022	99.9733	234.2015	311.5125	203.7354	329.0219	343.2132	282.5241	321.3011	275.0086	285.1971	Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism
ko00260	227.1157	180.4185	232.3012	169.8986	193.4277	153.5553	182.6419	134.6143	130.7526	184.011	242.3904	231.2956	188.9215	168.1929	238.1557	Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism
ko00261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221.6419	Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis
ko00270	178.2442	97.7416	117.7359	105.0262	145.0325	87.5752	115.9599	190.2234	95.2042	185.7689	242.9397	211.5045	187.8999	101.1749	201.4025	Metabolism; Amino acid metabolism; Cysteine and methionine metabolism
ko00280	221.8173	226.8377	198.4693	251.7205	74.471	198.802	218.1932	91.8342	108.2864	185.6416	112.1275	335.9949	132.6454	157.4074	283.31	Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation
ko00281	110.6145	243.007	8.8797	158.5954	45.7591	47.4709	154.7838	13.7606	59.1487	84.3029	0	235.5583	81.1494	11.922	195.7971	Metabolism; Metabolism of terpenoids and polyketides; Geraniol degradation
ko00290	609.2988	392.797	102.0664	0	278.1734	0	163.0054	230.0364	212.801	495.3409	603.5664	480.9102	378.2068	165.7728	533.1906	Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis
ko00300	254.397	133.915	25.1563	2.658	381.1064	27.2492	72.2232	195.7372	108.1691	183.9739	246.6715	248.2511	202.7687	189.1241	244.9668	Metabolism; Amino acid metabolism; Lysine biosynthesis
ko00310	125.8823	142.4056	79.6974	127.8264	38.4988	74.6226	73.9347	47.8157	74.2074	107.6468	92.3179	126.1738	79.4266	84.5968	144.1509	Metabolism; Amino acid metabolism; Lysine degradation
ko00311	43.2066	14.4106	15.5194	0	0	0	0	212.7051	0.796	22.5519	63.609	40.3224	156.4094	9.3883	46.7523	Metabolism; Biosynthesis of other secondary metabolites; Penicillin and cephalosporin biosynthesis
ko00330	85.5991	79.6095	76.8293	84.9101	113.6648	86.9927	79.1456	115.7668	37.9465	52.5702	152.0973	121.3479	89.9581	82.3655	160.0322	Metabolism; Amino acid metabolism; Arginine and proline metabolism
ko00340	267.299	213.0055	112.8481	83.4138	34.1214	98.1506	107.8431	155.5143	144.0355	199.5098	130.0261	244.3243	162.4962	77.3772	260.0261	Metabolism; Amino acid metabolism; Histidine metabolism
ko00350	104.5439	65.9765	76.6617	73.8345	50.3177	62.8223	51.596	44.8048	53.5303	66.0567	81.4797	103.9641	68.6378	49.0541	106.915	Metabolism; Amino acid metabolism; Tyrosine metabolism
