phylum	JUN	ADU	SEN
p_Myxococcota	0.004163	0.003494	0.0012038
p_Aquificota	0.0037942	0.0036852	0.0014542
p_Firmicutes C	0.0071482	0.0066074	0.0022636
p_Fusobacteriota	0.0021534	0.0383036	0.016125
p_Bacteroidota	0.0405924	0.0249746	0.014564
p_Campylobacterota	0.1357028	0.0079234	0.059191
p_Firmicutes	0.0300896	0.1140862	0.0839468
p_Firmicutes A	0.0322122	0.1476254	0.152746
p_Actinobacteriota	0.3633344	0.250789	0.1534054
p_Proteobacteria	0.3576068	0.3833394	0.5077746
Others	0.023199	0.0191711999999999	0.00732739999999998
