#ID	ADU	JUN
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Vibrionaceae.Photobacterium.Photobacterium_chitinilyticum	296077.25454	256350.52312000003
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Nocardia.Nocardia_nova_B	56967.2287	141768.14304
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.Clostridium_P.Clostridium_P_perfringens	77942.30377999999	1658.75506
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus.unclassified_Ligilactobacillus	46860.809460000004	129.95864
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_falsenii	33844.17718	20890.64366
Bacteria.Actinobacteriota.Actinomycetia.unclassified_Actinomycetia.unclassified_Actinomycetia.unclassified_Actinomycetia.unclassified_Actinomycetia	15254.94194	30992.804060000002
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.unclassified_Helicobacter_G	1751.96424	38973.67496
Bacteria.Bacteroidota.Bacteroidia.Chitinophagales.Chitinophagaceae.Chitinophaga.Chitinophaga_agrisoli	12707.9411	28973.435479999996
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Puniceibacterium.Puniceibacterium_profundi	15659.320080000001	18033.003640000003
Bacteria.Firmicutes.Bacilli.Lactobacillales.Catellicoccaceae.Catellicoccus.Catellicoccus_marimammalium	1532.1239199999998	6600.3839800000005
Bacteria.Proteobacteria.unclassified_Proteobacteria.unclassified_Proteobacteria.unclassified_Proteobacteria.unclassified_Proteobacteria.unclassified_Proteobacteria	12467.41936	15866.161680000001
Bacteria.Actinobacteriota.Actinomycetia.Streptomycetales.Streptomycetaceae.Streptomyces.Streptomyces_shenzhenensis	10677.67614	25853.003060000003
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.unclassified_Corynebacterium	16286.284899999999	10358.838640000002
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Cetobacterium_A.unclassified_Cetobacterium_A	21889.36702	486.1508
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Alcanivoracaceae.Alcanivorax.Alcanivorax_profundi	11933.24946	12885.160460000001
Bacteria.Actinobacteriota.Actinomycetia.Propionibacteriales.Propionibacteriaceae.Arachnia.Arachnia_antarctica	682.61554	8218.394939999998
Bacteria.Firmicutes.Bacilli.Paenibacillales.Paenibacillaceae.Paenibacillus_O.Paenibacillus_O_herberti	7796.685699999999	19010.22152
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.unclassified_Burkholderiaceae.unclassified_Burkholderiaceae	506.05616	1102.03724
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Vibrionaceae.Vibrio.Vibrio_viridaestus	8667.22144	11244.310999999998
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.Paraclostridium.Paraclostridium_sordellii	16853.82176	519.24698
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Marinifilaceae.Ancylomarina_A.Ancylomarina_A_longa	7804.610639999999	9805.79364
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.unclassified_Enterobacteriaceae.unclassified_Enterobacteriaceae	2345.3994199999997	102.70778
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.Paraclostridium.Paraclostridium_tenue	3787.9503000000004	350.69482
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Rothia.unclassified_Rothia	9042.7351	9382.90406
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.Helicobacter_G_sp001693335	671.7935	13814.57766
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus.Ligilactobacillus_aviarius_B	13941.03326	31.5767
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Vibrionaceae.unclassified_Vibrionaceae.unclassified_Vibrionaceae	7439.239940000001	7093.63134
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_vitaeruminis_A	15626.707820000001	2654.8020800000004
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_sp008930665	4139.3894199999995	7204.63516
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae.Methylocystis.Methylocystis_sp011058845	6329.67486	7900.03848
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Arthrobacter_D.Arthrobacter_D_sp002929375	5705.695320000001	8707.64992
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Dermabacteraceae.TAE3_ERU5.unclassified_TAE3_ERU5	7593.7694	6925.426240000001
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus.Ligilactobacillus_aviarius	11625.877360000002	24.84616
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Kocuria.Kocuria_sp014698015	1578.51112	12900.215460000001
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Rothia.Rothia_kristinae	9080.267259999999	4373.154399999999
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Paracoccus.unclassified_Paracoccus	324.20204	2787.5043
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Arthrobacter_D.unclassified_Arthrobacter_D	5154.2022400000005	6320.99464
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.Helicobacter_G_pametensis	459.07417999999996	9132.24914
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Dermatophilaceae.Knoellia.unclassified_Knoellia	869.1048199999999	11166.2209
Bacteria.Firmicutes_C.Negativicutes.UBA1444.UBA1444.UBA1444.UBA1444_sp012798135	4721.52422	5291.27146
Bacteria.Proteobacteria.Alphaproteobacteria.unclassified_Alphaproteobacteria.unclassified_Alphaproteobacteria.unclassified_Alphaproteobacteria.unclassified_Alphaproteobacteria	1575.59964	2398.93232
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Paracoccus.Paracoccus_sulfuroxidans	2764.80904	1940.22458
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus.Ligilactobacillus_faecavium	4050.1301	4.98252
Bacteria.Firmicutes_A.Clostridia.Lachnospirales.Cellulosilyticaceae.Epulopiscium_B.Epulopiscium_B_sp001983555	3977.10562	4233.1278
Bacteria.Proteobacteria.Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria	2022.7902600000002	2153.08016
