#ID	domain	phylum	class	order	family	genus	species
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Vibrionaceae.Photobacterium.Photobacterium_chitinilyticum	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Photobacterium	s__Photobacterium_chitinilyticum
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Nocardia.Nocardia_nova_B	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Nocardia	s__Nocardia_nova_B
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.Clostridium_P.Clostridium_P_perfringens	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_P	s__Clostridium_P_perfringens
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus.unclassified_Ligilactobacillus	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__unclassified_Ligilactobacillus
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_falsenii	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium_falsenii
Bacteria.Actinobacteriota.Actinomycetia.unclassified_Actinomycetia.unclassified_Actinomycetia.unclassified_Actinomycetia.unclassified_Actinomycetia	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__unclassified_Actinomycetia	f__unclassified_Actinomycetia	g__unclassified_Actinomycetia	s__unclassified_Actinomycetia
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.unclassified_Helicobacter_G	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_G	s__unclassified_Helicobacter_G
Bacteria.Bacteroidota.Bacteroidia.Chitinophagales.Chitinophagaceae.Chitinophaga.Chitinophaga_agrisoli	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_agrisoli
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Puniceibacterium.Puniceibacterium_profundi	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Puniceibacterium	s__Puniceibacterium_profundi
Bacteria.Firmicutes.Bacilli.Lactobacillales.Catellicoccaceae.Catellicoccus.Catellicoccus_marimammalium	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Catellicoccaceae	g__Catellicoccus	s__Catellicoccus_marimammalium
Bacteria.Proteobacteria.unclassified_Proteobacteria.unclassified_Proteobacteria.unclassified_Proteobacteria.unclassified_Proteobacteria.unclassified_Proteobacteria	d__Bacteria	p__Proteobacteria	c__unclassified_Proteobacteria	o__unclassified_Proteobacteria	f__unclassified_Proteobacteria	g__unclassified_Proteobacteria	s__unclassified_Proteobacteria
Bacteria.Actinobacteriota.Actinomycetia.Streptomycetales.Streptomycetaceae.Streptomyces.Streptomyces_shenzhenensis	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_shenzhenensis
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.unclassified_Corynebacterium	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__unclassified_Corynebacterium
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Cetobacterium_A.unclassified_Cetobacterium_A	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Cetobacterium_A	s__unclassified_Cetobacterium_A
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Alcanivoracaceae.Alcanivorax.Alcanivorax_profundi	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Alcanivoracaceae	g__Alcanivorax	s__Alcanivorax_profundi
Bacteria.Actinobacteriota.Actinomycetia.Propionibacteriales.Propionibacteriaceae.Arachnia.Arachnia_antarctica	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Arachnia	s__Arachnia_antarctica
Bacteria.Firmicutes.Bacilli.Paenibacillales.Paenibacillaceae.Paenibacillus_O.Paenibacillus_O_herberti	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_O	s__Paenibacillus_O_herberti
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.unclassified_Burkholderiaceae.unclassified_Burkholderiaceae	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__unclassified_Burkholderiaceae	s__unclassified_Burkholderiaceae
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Vibrionaceae.Vibrio.Vibrio_viridaestus	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio_viridaestus
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.Paraclostridium.Paraclostridium_sordellii	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Paraclostridium	s__Paraclostridium_sordellii
