#ID	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales_A.Rhizobiaceae_A.Pseudochrobactrum.Pseudochrobactrum_asaccharolyticum	2	1	23	109	43	69	2428	646	1	835520
Bacteria.Actinobacteriota.Actinomycetia.Propionibacteriales.Propionibacteriaceae.Arachnia.Arachnia_antarctica	2	9	1220	63	170	283	17049	653	2	664137
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Microbacteriaceae.Leucobacter.Leucobacter_sp001482305	0	9	64	31	83	68	3162	175	1	676734
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.Clostridium_P.Clostridium_P_perfringens	16	1682	179467	40	7	374607	13679	79910	841	17101
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales_A.Rhizobiaceae_A.Pseudochrobactrum.unclassified_Pseudochrobactrum	0	5	20	105	25	57	2415	583	2	643137
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Escherichia_ruysiae	2	6	726	341	124	380638	3435	8906	1	949
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Microbacteriaceae.Leucobacter.unclassified_Leucobacter	5	9	74	42	190	105	3026	170	3	390234
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.unclassified_Escherichia	0	4	655	293	121	294754	5118	12489	2	1616
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.unclassified_Burkholderiaceae.unclassified_Burkholderiaceae	32	69	154	243	76	119	270506	541	42	16810
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Vibrionaceae.Photobacterium.Photobacterium_chitinilyticum	45174	21449	33	78581	19	603	602	269	32404	781
Bacteria.Proteobacteria.Alphaproteobacteria.unclassified_Alphaproteobacteria.unclassified_Alphaproteobacteria.unclassified_Alphaproteobacteria.unclassified_Alphaproteobacteria	178	126	77	213	164	63	33888	372	130	230616
Bacteria.Actinobacteriota.Actinomycetia.unclassified_Actinomycetia.unclassified_Actinomycetia.unclassified_Actinomycetia.unclassified_Actinomycetia	263	1217	1181	2223	5443	686	8149	2746	394	218008
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Escherichia_coli	0	1	534	210	98	210841	4892	11888	2	783
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus.unclassified_Ligilactobacillus	64	1439	25303	750	41669	12243	124682	6069	138	186
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.unclassified_Enterobacteriaceae.unclassified_Enterobacteriaceae	10	153	1576	412	91	188375	3599	9266	36	2839
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_falsenii	109	459	5379	10010	34108	5347	5843	8242	294	90523
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Microbacteriaceae.Leucobacter.Leucobacter_komagatae_A	0	1	10	14	43	69	1102	74	0	177055
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.unclassified_Corynebacterium	79	162	2345	4566	21821	1414	9209	4258	108	120724
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_sp008930665	20	76	403	429	4469	815	15785	2297	28	134619
Bacteria.Proteobacteria.unclassified_Proteobacteria.unclassified_Proteobacteria.unclassified_Proteobacteria.unclassified_Proteobacteria.unclassified_Proteobacteria	3369	1832	192	1127	106	3883	23313	442	3079	85215
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Giesbergeria.Giesbergeria_sp017998735	0	1	51	101	14	23	120757	64	1	2469
