Term	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Nucleotide metabolism	0.018037	0.01376	0.008661	0.003229	0.02433	0.003578	0.012413	0.026319	0.01557	0.018732	0.022957	0.018045	0.025905	0.017951	0.016637
Circulatory system	0.002047	0.012809	0.042833	0.056053	0.008142	0.0578	0.029739	1.1e-05	0.013925	0.001141	1.4e-05	0	0	0.027693	2.2e-05
Cell motility	0.00589	0.002917	0.012077	0.014957	0.051796	0.014498	0.014918	0.013481	0.007117	0.00207	0.038489	0.02764	0.015445	0.035795	0.012664
Immune system	0.002057	0.01877	0.042309	0.05838	0.014354	0.048812	0.034672	0.001395	0.015768	0.001732	0.001287	0.001192	0.001075	0.029029	0.001184
Digestive system	0.008773	0.047638	0.031819	0.03768	0.011875	0.041612	0.033665	0.003633	0.017441	0.009993	0.006912	0.009625	0.000545	0.021913	0.002062
Cardiovascular disease	0.006982	0.023998	0.047383	0.058807	0.013761	0.063304	0.036208	2.4e-05	0.020858	0.00618	1.2e-05	0.001925	2.5e-05	0.032507	0.001451
Translation	0.027816	0.007917	0.005695	0.004869	0.04589	0.00424	0.007394	0.038698	0.024062	0.040338	0.021573	0.029577	0.037588	0.006989	0.023738
Xenobiotics biodegradation and metabolism	0.024334	0.024233	0.010488	0.009789	0.020237	0.006782	0.01386	0.020997	0.022785	0.025185	0.030201	0.05078	0.02559	0.010412	0.039226
Immune disease	0.003451	0.010682	0.057868	0.090003	0.012697	0.089068	0.040506	0	0.02681	0.002563	1e-06	0	0	0.038674	0
Energy metabolism	0.042323	0.027451	0.013904	0.007386	0.03723	0.007578	0.02466	0.036893	0.027824	0.030068	0.044727	0.049526	0.037513	0.027197	0.041297
Metabolism of other amino acids	0.038111	0.030529	0.013223	0.008125	0.037392	0.012034	0.02177	0.050699	0.029758	0.041783	0.041524	0.047592	0.04654	0.029345	0.04933
Endocrine system	0.024811	0.03827	0.062393	0.077442	0.013158	0.080188	0.049867	0.012979	0.041937	0.03028	0.008599	0.013228	0.009143	0.037681	0.013879
Folding, sorting and degradation	0.036069	0.025633	0.03726	0.033959	0.054131	0.034151	0.03691	0.039049	0.039221	0.049395	0.033976	0.033954	0.041842	0.046133	0.029172
Signal transduction	0.017946	0.03555	0.080349	0.099924	0.023433	0.095794	0.057895	0.011156	0.044849	0.021782	0.013789	0.014038	0.008055	0.04446	0.011655
Lipid metabolism	0.037276	0.036987	0.040909	0.031492	0.04178	0.037184	0.045523	0.055337	0.035402	0.044498	0.046236	0.049268	0.049729	0.038246	0.048037
Glycan biosynthesis and metabolism	0.055847	0.073266	0.028254	0.007358	0.023568	0.014017	0.041753	0.110533	0.060256	0.079379	0.062073	0.044883	0.08471	0.036092	0.059606
Replication and repair	0.06511	0.054359	0.041222	0.003247	0.106587	0.008431	0.03796	0.114245	0.054935	0.086883	0.074073	0.077587	0.110515	0.086326	0.068753
Metabolism of cofactors and vitamins	0.088747	0.070933	0.030857	0.011632	0.097119	0.017588	0.048984	0.083638	0.068977	0.063152	0.101226	0.083594	0.085801	0.068677	0.087859
Amino acid metabolism	0.146858	0.119347	0.047944	0.030409	0.102842	0.032042	0.069894	0.092929	0.108161	0.103808	0.133187	0.143166	0.106426	0.081772	0.156477
Carbohydrate metabolism	0.134163	0.101347	0.046819	0.020269	0.092482	0.020947	0.064517	0.142761	0.102016	0.15024	0.15212	0.122236	0.142135	0.076009	0.132331
Others	0.213349	0.223602	0.297733	0.33499	0.167191	0.310353	0.276892	0.145224	0.222333	0.190798	0.16702	0.182146	0.171418	0.207099	0.20462
