#ID	ADU	SEN
Metabolism.Carbohydrate_metabolism.Glycolysis_Gluconeogenesis	182.9975	234.18964
Metabolism.Carbohydrate_metabolism.Citrate_cycle_(TCA_cycle)	91.84556	175.05257999999998
Metabolism.Carbohydrate_metabolism.Pentose_phosphate_pathway	151.81210000000002	190.74736000000001
Metabolism.Carbohydrate_metabolism.Pentose_and_glucuronate_interconversions	32.17348	86.41432
Metabolism.Carbohydrate_metabolism.Fructose_and_mannose_metabolism	117.32369999999999	154.00809999999998
Metabolism.Carbohydrate_metabolism.Galactose_metabolism	136.73033999999998	181.6683
Metabolism.Carbohydrate_metabolism.Ascorbate_and_aldarate_metabolism	37.12192	78.2613
Metabolism.Lipid_metabolism.Fatty_acid_biosynthesis	169.3506	271.4264
Metabolism.Lipid_metabolism.Fatty_acid_elongation	21.938319999999997	14.2792
Metabolism.Lipid_metabolism.Fatty_acid_degradation	74.48766	139.40464
Metabolism.Lipid_metabolism.Primary_bile_acid_biosynthesis	45.05458	13.28858
Metabolism.Lipid_metabolism.Secondary_bile_acid_biosynthesis	52.94736	124.16852000000002
Metabolism.Metabolism_of_cofactors_and_vitamins.Ubiquinone_and_other_terpenoid__quinone_biosynthesis	41.49602	114.3403
Metabolism.Lipid_metabolism.Steroid_hormone_biosynthesis	14.016960000000001	5.734
Metabolism.Energy_metabolism.Oxidative_phosphorylation	57.43412000000001	96.60082
Metabolism.Amino_acid_metabolism.Arginine_biosynthesis	68.86228000000001	150.2115
Metabolism.Nucleotide_metabolism.Purine_metabolism	113.71412000000001	166.5421
Metabolism.Nucleotide_metabolism.Pyrimidine_metabolism	140.02344	248.32288000000003
Metabolism.Amino_acid_metabolism.Alanine,_aspartate_and_glutamate_metabolism	157.3043	250.88718
Metabolism.Amino_acid_metabolism.Glycine,_serine_and_threonine_metabolism	94.3666	180.2297
Metabolism.Biosynthesis_of_other_secondary_metabolites.Monobactam_biosynthesis	0.0	41.2624
Metabolism.Amino_acid_metabolism.Cysteine_and_methionine_metabolism	90.70872	163.10721999999998
Metabolism.Amino_acid_metabolism.Valine,_leucine_and_isoleucine_degradation	91.23136	171.96025999999998
Metabolism.Metabolism_of_terpenoids_and_polyketides.Geraniol_degradation	38.391859999999994	93.58194
Metabolism.Amino_acid_metabolism.Valine,_leucine_and_isoleucine_biosynthesis	157.12042000000002	379.10896
Metabolism.Amino_acid_metabolism.Lysine_biosynthesis	84.27816	189.83801999999997
Metabolism.Amino_acid_metabolism.Lysine_degradation	45.48754	88.6867
Metabolism.Biosynthesis_of_other_secondary_metabolites.Penicillin_and_cephalosporin_biosynthesis	42.43984	56.357060000000004
Metabolism.Amino_acid_metabolism.Arginine_and_proline_metabolism	46.688900000000004	103.45476000000001
Metabolism.Amino_acid_metabolism.Histidine_metabolism	91.49832	152.09258
Metabolism.Amino_acid_metabolism.Tyrosine_metabolism	33.34576	70.36377999999999
Metabolism.Amino_acid_metabolism.Phenylalanine_metabolism	35.127539999999996	107.99542000000001
Metabolism.Xenobiotics_biodegradation_and_metabolism.Chlorocyclohexane_and_chlorobenzene_degradation	2.4375999999999998	25.309260000000002
Metabolism.Xenobiotics_biodegradation_and_metabolism.Benzoate_degradation	29.17222	59.28102
Metabolism.Xenobiotics_biodegradation_and_metabolism.Fluorobenzoate_degradation	0.0	16.68582
Metabolism.Amino_acid_metabolism.Tryptophan_metabolism	56.90578000000001	96.3468
Metabolism.Amino_acid_metabolism.Phenylalanine,_tyrosine_and_tryptophan_biosynthesis	75.29796	171.24218000000002
Metabolism.Metabolism_of_other_amino_acids.beta__Alanine_metabolism	82.49162000000001	132.34962000000002
Metabolism.Metabolism_of_other_amino_acids.Taurine_and_hypotaurine_metabolism	85.33174	92.47538
Metabolism.Metabolism_of_other_amino_acids.Phosphonate_and_phosphinate_metabolism	9.15844	40.367020000000004
Metabolism.Metabolism_of_other_amino_acids.Selenocompound_metabolism	115.22008000000001	192.90186
Metabolism.Metabolism_of_other_amino_acids.D__Amino_acid_metabolism	69.53832	154.79198
Metabolism.Metabolism_of_other_amino_acids.Glutathione_metabolism	60.243599999999994	141.51778
Metabolism.Carbohydrate_metabolism.Starch_and_sucrose_metabolism	127.37269999999998	140.4421
Metabolism.Glycan_biosynthesis_and_metabolism.Other_glycan_degradation	81.49302	88.03826000000001
Metabolism.Carbohydrate_metabolism.Amino_sugar_and_nucleotide_sugar_metabolism	126.99664	164.3469
Metabolism.Biosynthesis_of_other_secondary_metabolites.Streptomycin_biosynthesis	160.84542000000002	197.23866000000004
Metabolism.Metabolism_of_terpenoids_and_polyketides.Polyketide_sugar_unit_biosynthesis	26.45654	35.25846
Metabolism.Biosynthesis_of_other_secondary_metabolites.Acarbose_and_validamycin_biosynthesis	13.253639999999999	25.59154
Metabolism.Glycan_biosynthesis_and_metabolism.Glycosaminoglycan_degradation	76.93526	33.242059999999995
Metabolism.Glycan_biosynthesis_and_metabolism.Lipopolysaccharide_biosynthesis	11.46592	126.92354
Metabolism.Glycan_biosynthesis_and_metabolism.O__Antigen_nucleotide_sugar_biosynthesis	10.873080000000002	113.1174
Metabolism.Glycan_biosynthesis_and_metabolism.Exopolysaccharide_biosynthesis	13.491840000000002	40.60386000000001
Metabolism.Glycan_biosynthesis_and_metabolism.Peptidoglycan_biosynthesis	131.20734000000002	264.1804
Metabolism.Glycan_biosynthesis_and_metabolism.Teichoic_acid_biosynthesis	85.69326	94.54424
Metabolism.Lipid_metabolism.Glycerolipid_metabolism	68.26422	92.90450000000001
