#ID	first	second	third
Metabolism.Carbohydrate_metabolism.Glycolysis_Gluconeogenesis	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Glycolysis_Gluconeogenesis
Metabolism.Carbohydrate_metabolism.Citrate_cycle_(TCA_cycle)	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Citrate_cycle_(TCA_cycle)
Metabolism.Carbohydrate_metabolism.Pentose_phosphate_pathway	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Pentose_phosphate_pathway
Metabolism.Carbohydrate_metabolism.Pentose_and_glucuronate_interconversions	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Pentose_and_glucuronate_interconversions
Metabolism.Carbohydrate_metabolism.Fructose_and_mannose_metabolism	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Fructose_and_mannose_metabolism
Metabolism.Carbohydrate_metabolism.Galactose_metabolism	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Galactose_metabolism
Metabolism.Carbohydrate_metabolism.Ascorbate_and_aldarate_metabolism	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Ascorbate_and_aldarate_metabolism
Metabolism.Lipid_metabolism.Fatty_acid_biosynthesis	L1__Metabolism	L2__Lipid_metabolism	L3__Fatty_acid_biosynthesis
Metabolism.Lipid_metabolism.Fatty_acid_elongation	L1__Metabolism	L2__Lipid_metabolism	L3__Fatty_acid_elongation
Metabolism.Lipid_metabolism.Fatty_acid_degradation	L1__Metabolism	L2__Lipid_metabolism	L3__Fatty_acid_degradation
Metabolism.Lipid_metabolism.Primary_bile_acid_biosynthesis	L1__Metabolism	L2__Lipid_metabolism	L3__Primary_bile_acid_biosynthesis
Metabolism.Lipid_metabolism.Secondary_bile_acid_biosynthesis	L1__Metabolism	L2__Lipid_metabolism	L3__Secondary_bile_acid_biosynthesis
Metabolism.Metabolism_of_cofactors_and_vitamins.Ubiquinone_and_other_terpenoid__quinone_biosynthesis	L1__Metabolism	L2__Metabolism_of_cofactors_and_vitamins	L3__Ubiquinone_and_other_terpenoid__quinone_biosynthesis
Metabolism.Lipid_metabolism.Steroid_hormone_biosynthesis	L1__Metabolism	L2__Lipid_metabolism	L3__Steroid_hormone_biosynthesis
